req,res
응 그래서 나도 게임 깔려고 하다가 바로 포기했잖아,솔로 플레이도 할 수 있게 만들어줘야지
어떡해... 추석 때 너무 많이 먹었나봐,나도 추석에 많이 먹었더니 살찐 거 같아
우리 진짜 다이어트 열심히 해야할꺼 같아...,그래 ! 내일부터 헬스장 다녀야겠어
나도 우리동네 헬스장에서 이벤트하길래 등록하려고!,무슨 이벤트하는데 ?
1년에 30만원으로 등록이 가능하대!,오 완젼 좋다 ! 우리동네도 그런 이벤트 했으면 좋겠다
아 그리고 다이어트에는 식단도 중요하대!,맞아 내가 찾아보니까 단백질을 많이 먹는 게 좋을 거 같아
단백질보충에는 닭가슴살이 최고지!,그러면 닭가슴살 위주로 먹어야겠네
대탈출 저번거 재미 없더라 ㅠㅠ,무슨편이었길래?
그거였어,아하! 나도 그런 에피소드 편은 재미없더라ㅠㅠ
그치... 두번이나 도전했는데 보다가 다 껐어,ㅋㅋ 이번 편은 그냥 넘기는건 어때?
다음주는 그런거 해주면 좋겠다,그니까ㅠㅠ좀비나 귀신 에피소드 많이해줬으면
다음주는 그런거 나오겠지 기대해본다...,맞아ㅜㅜ 꼭 나오면 좋겠다
이번주는 대탈출 말고 다른거나 보고 있어야지...,다른거 재밌는거 있으면 나도 알려줘~
지금 식후 베라 먹는 중,오 ㅋㅋ 베라 좋지 배달?
어 ㅋㅋ 요기요애서 무료더라 배달비,오 나도 내일 시킬까 ㅋㅋ 무배 흔치않은데
ㅋㅋ 안그래도 베라 땡겨서 딱 들어갔는데 무배여서 좋았어,밥 먹고 배라 딱이지... 나도 아쉬운대로 투게더 먹어야겠다 ㅋㅋ
ㅋㅋ 점심에 시켜서 음료도 먹고 ㅋㅋ 좋더라 저녁 식후 베라,앜 ㅋㅋ 1일 2 베라구나
아 아니 ㅋㅋ 점심은 음료만 먹고 저녁에 베라 개봉,어 ㅋㅋ 하루에 두번 먹는다고
아 ㅋㅋ 그치 베라 음료랑 아이스크림,뭐더라... 바나나킥 맛 아이스크림 새로 나온거 봤다 ㅋㅋ 배라
어 맞어 ㅋㅋ 꿀망바인가? 뭐 줄여서 부르던데 그거 하려다가 꼬북칩 도전함,엥? ㅋㅋ 꼬북칩 맛 나왔어?
어어 꼬북칩 초코맛 신상 나왔더라,와 별게 다 나왔다 ㅋㅋ
맛 괜찮더라 꼬북칩 초코 과자맛 안먹어봤지만,초코라서 엄마는 외계인 느낌이려나?
아 꼬북칩 초코맛 계피맛도 나고 많이 안달아서 내 입에 맞더라,아 계피맛 맞다... 특유 그 뭔가 츄러스 느낌?
우리이번연말엔어디갈래?,연말에 서울갈래...^^
웅연말에서울와그럼 ㅋㅋ 리얼확정짓자 헤헤,어 서울이 짱인듯 ㅎ/강원도 전라도 노노
그때좋은호텔잡으려면얼마인지 아니...?,아니 ... 몰라 ㅋㅋ/적당한데 잡자^^
저번서울여행때도 나름 열심히꾸몄던거잖아 ㅋㅋ 풍선도사고,ㅋㅋ ㅌㅌ아니다 32살답데 흐자/그때도 3단계일까
그래도백신인센티브있을거야그때는 ㅋㅋ 위드코로나일듯,그체 위드코로나 해야해/저번 홍대에사처람 놀고싶다
오빠 내일 머리 자르려고,머리는 왜 자르는데?
넌 머리 안잘라?,그렇구나 좀 덥수룩 하기는 했어/나는 머리 안 잘라.
왜 아직 안자르게?,아직 머리가 짧으니까 그렇지./내 머리카락에는 관심이 없구나?
아니야! 얼굴이 너무 예뻐서 머리는 안보였어,ㅋㅋ 과장이 심하네./오빠는 머리 어떻게 자를 건데?
아 이번에 시원하게 머리 밀어버리려고,그렇구나 대변신이네./머리 자르고 사진 찍어서 보여줘.
이디야 신메뉴 후기 올라온거 봤어?,아 아니 ㅋㅋ 신메뉴 뭔데?
포스틱 쉐이크 새로 나왔더라,포스틱...? 그 감자 과자 포스틱?
어 ㅜㅜ 쉐이크 있고 맨 위에 포스틱 올려져있더라,아... ㅜㅜ ㅋㅋ 이디야 약간 그런거 잘한다...
쉐이크 중간에 치즈 소스도 있대...,아니 음료에 뭐하는거야 ㅜㅜ... 수요가 있어?
글쓴이가 결론은 수박주스가 최고라고 글 쓰긴 했더라...,나는 진짜... 누가 사줘도 안먹을거같아
맛이 없진 않은데 또 먹을 맛은 아니래... 한번은 먹어보라는데... 나도 ㅜㅜ,그냥 도전 안하고 커피 마실래... ㅜㅜ ㅋㅋ
나도 이디야 연유콜드부르라떼 아니면 아이스아메리카노로... 신메뉴는 노...,그니까... 전에 뭐지 옥수수 들어간 그거는 나름... 뭐 한번 먹을만했는데 ㅋㅋ 밭두렁 같은거 씹히는... 달아 ㅜ
아 이디야에거 그런거 나왔었어? 옥수수음료?,어어 ㅋㅋ 달아서 다 먹진 못했어 ㅜ 질려가지고
누가 중식다이닝 리뷰 한거 올렸는데 맛나보인다,중식다이닝? 뭐 코스요리같은?
신하호텔 팔선 뭐 이런데 리뷰,중국음식 좋아하는 사람이겠네 ㅋㅋ
어 ㅋㅋ 중국 교환학생 갔다와가지고 한국와서 이곳 저곳 다녔네,아 보고왔다 ㅋㅋ 훠궈 하이디라오 좋아한대서 신뢰도 하락이다...
아 ㅋㅋ 하이디하오만 아는 맛,ㅋㅋ 여기저기 잘 다닌다 중국에 오래 있었어서 그런지 ㅋㅋ
그니까 되게 고급져보이는데가 많다,보통 한국 들어와서 한국음식만 먹으러 갈거같은데 ㅋㅋ 중국음식 입에 잘 맞으셨나봐
ㅋㅋ 보면 하트시그널 촬영지도 갔었네,아 ㅋㅋ 봤는데 어딘질 모르겠더라... 그리고 북경오리를 좋아하네...
북경오리 여러장 있더라 사진에 ㅋㅋ,우리 상해가서 먹었었잖아... 아주 살짝 ㅋㅋ
맞어 북경오리 중국에서 두번 먹었지만 내취향 아니더라,난... 별로였던 기억이... ㅜㅜ 맛있나...?? 모르겠다...
나도... 오리를 우리나라 사람들이 잘 먹는편은 아니라서 그런가,뭔가 맛이... 특이했어 ㅋㅋ 식감도 그렇고
맞어... 손질은 어딜 가든 다 해주는구나,라공방이랑 탕화쿵푸 두개만 인정할게요...
라공방 아는맛... 마라샹궈 땡긴다,진짜... ㅜㅜ 매운향솥도 생각난다 이 밤에 ㅜㅜ
번지점프 해보고 싶은 생각 있어?,헐 옛날엔 하고 싶었는데!
스카이 다이빙은?,지금은 무서워서 지릴까봐...
하하 뭔가 그 스위스 같은곳에서 하면 재밌을 것 같아,ㅋㅋ 마자 도전해보고는 싶어!
하하 익스트림은 근데 확실히 위험해서 무섭긴해,오빠는 뭐 해본거 있어?
하하 익스트림류는 하나도 안해본 것 같아,난 그런건 하나도 안해봐서 하하
하하 나중에 기회되면 해보자!,담에 같이 여행가서 도전해보자!
아침부터 당과 카페인 충전을 위해 카페 옴,ㅋㅋ 오 나도 아침부터 냉장고에 있던 top 커피 마시는중...
사실 따뜻한 커피 마시려고 했거든? 근데 아이스;,나도 아이스커피에 호두정과 아침부터 까먹었다 ㅋㅋ/빠르게 아침 간식 흡입 완료
막상 도착하니까 덥네 ㅋㅋ,나도 오자마자 에어컨 틀고...아직은 여름은 여름이다...아이스 땡겨요
뭔가 백신 맞기전에 감기 안걸려야되니까 따뜻 생각했는데 ㅜ ㅋㅋ,ㅋㅋ 내동생도 백신맞기전에 돼지고기 먹어줘야한다고 해서 어제 돼지고기 구워먹었잖아 ㅋㅋ
아 ㅋㅋ 겁나 웃겨 돼지고기를... 먹어줘야해?,ㅋㅋ 몰라 뭐 어디 인터넷에서 봤나봐; ㅋㅋ 돌고 도는 이야기인듯
겁나 웃김 ㅜㅜ 목에 기름칠 ㅋㅋ,"목이랑 배에 기름칠 완료, 간만에 김치볶음밥도 먹었잖아..."
와 그 구운데에 볶은?,어어 기름에 기름을 더한...맛있는~ ㅋㅋ
그게 맛있잖아 진짜 ㅜㅜ,맞어...집에 묵은지도 있어가지고...맛나게 먹었다 어제 저녁
굿이다 ㅋㅋ 나도 어제 오랜만에 기름칠하고... 좋았다 ㅜㅜ,ㅋㅋ 어제 너는 저녁 뭐먹었어?
오빠 우리 서핑 가즈아!,오 실내 야외?
나는 야외에서 해보고 싶어 히히,하하 오호 그게 근데 되게 어려워 해보니까
실내에서 하면 지대로 배우긴 하겠당,코어 힘이 중요한데 코어가 하나도 없자나
뭐래 내가 코어를 여기저기 분산 시킨거야,하하 서핑이 그리고 팔 근력도 좀 중요하고 체력도 중요해
아하 내가 생각보다 물만난 물고기 느낌이거든 ㅋㅋ,근데 그게 다 하나도없자나 하하 그러니까 기본 운동부터좀 해바 하하
아냐 오빠는 내가 가르쳐줄게 하하,하하 난 이미 할 줄 알아서 나한테 배워야 할껄?
나 어제부터 김치찌개 먹고싶었어,시켜먹지 그랬어?
그래서 오늘 시켰어,오 어땠어
맛은 괜찮았어!,혼자 시켜먹으면 양 좀 많지 않아?
남으면 사리 넣어서 먹으면 되지 않을까?,무슨 사리 넣어서 먹게?
라면사리,아 역시 김치찌개에는 라면사리지
맞아,그래서 남았어?/근데 유태오랑 차은우는 느낌이 너무 다른데?/나도 차 사면 전기차 살거같아/시간만 되면 나도 같이 다니면 좋겠는데
응 조금 두부랑 남았어,저녁에 또 라면 넣어서 김치찌개 먹겠구나
응 그런 맛이 또 괜찮거든,계란 후라이까지 해서 먹어
아쉽게도 집에 계란이 없어,정말 아쉽다 김치찌개에는 계란인데
그러게말야 얼른 사둬야지,오늘 저녁 전에 사라고!
군대의 하루하루는 어떤 기분일까?,ㅋㅋ 하루하루 휴가생각만 하게돼
그럼 시간이 너무 안가겠다,ㅋㅋ 맞아 사실 그래서 일을 열심히 하는게 나아
아하 일을 열심히 하면 시간이 빨리가니까?,ㅋㅋ 그러면서 휴가만 기다리는거지
휴가나가기 전에 먹을 것들 생각해놔?,응응 나가서 뭐먹을지 고민해놓지 ㅋㅋ
그래서 나오면 막 다 먹고 들어가는거야?,근데 막상 나오면 또 그렇데 안되더라고
ㅋㅋ 안에 있을 때랑 생각이 달라서?,응 하하 그리고 막상 시간이 너무 없어
나 어렸을 때 골프 잘 쳤는데,아하 하하 골프도 코어가 중요할텐데 얼마나 어릴때 말하는거야?
ㅋㅋ 초등학생때~ 아빠따라 다녔어,자아가 없을때네 하하 그건 잘쳤다고 보기 힘들어
집에서 간단하게 운동도 했지 하하,ㅋㅋ 지금 시기에 한번 쳐봐야지 알지!
나는 운동왕이라 다 잘하지 완전~,하하 근력부족이 어떻게 운동왕이야 하하
에이 그렇게 없지 않아~,하하 나야말로 운동신경이 좀 타고난 편이지 하하
하하 그래도 나는 오빠보다 잘할걸?,하하 전혀 아닐거같아 진심으로 하하 내가 다 잘할거같아!
너는 탈모 없지?,나는 탈모는 없는데 머리카락이 잘 빠져/오빠는 탈모 있어?
혹시 샴푸 추천해줄 수 있어?,나는 샴푸 잘 몰라./네이버 후기 보고 사는 건 어때?
써봤던 샴푸 중에 좋았던 건 없어?,응 그냥 아무거나 써/어차피 탈모는 샴푸로 못 이겨
탈모 없었으면 좋겠다.,탈모 심해지면 약 복용해
요거프레소 시켜 먹고 싶다,뭐?
메리 딸기,딸기 시즌 아니지않아?
그니까 ㅠㅠ 그래서 못시켜먹음,아님 시켜도 냉동일듯...
메리멜론도 있었던거 같은데,차라리 메리망고는 어때?
망고도 냉동이잖아 ㅠㅠ,그래도 딸기보단 덜 할듯?
그런가?,"응 아니면 메리초코./응 그냥 왁스 바르고 다녀~!/응 보통은 다 근력 필요하니까/그래도 골프 배우는건 좋은 생각 같아/그 톤마다 페일, 브라이트, 뭐 이런거 나뉘잖아/그래서 쿨톤이긴한데...정확하게는 잘 모르겠네"
아 나는 초코는 좀...,초코 안좋아해?
응 초코는 너무 달아서 싫어...,메리파르페이런것도 있더라
오 그건 좀 솔깃한데?,한번 시켜먹어봐바
새로운 메뉴 도전해볼까,응 차가운건 실패가 없어
한달전에 지하철 처음 타 봤어,오...처음타본 소감이 어때?
처음에는 걱정을 많이 했지,그렇겠어 안그래도 처음인데 걱정했겠어/혼자탔어?
그 다음에는 혼자 탔어,한번은 같이타고 그다음에 혼자타는 연습을 했구나
나도 잘할 수 있구나하는 자신감이 생겼어,멋있어/나도 처음에는 지하철 탈때 어느 방향으로 가야하는지 한참 헤맸어
그랬구나~ 잘했어,해보니까 별것 아니더라/나도 자신감이 생겼어/그리고 버스 타는 방법 터득해서 잘타고 다니는중
스킨스쿠버 해본 적 있어?,하하 없어 스노쿨링만해봤어
오호 둥둥 떠다니기만 했구나!,깨끗한 바다에서는 해보고싶긴하다 하하
깊숙이 내려가는건 뭔가 무서울 것 같아,ㅋㅋ 스노쿨링할때도 아래로 숨참고 내려가보긴했어
심해공포증이 있어가지구 하하 조심해야할 듯,하하 막 상어랑 같이 수영하고 그런것도 있잖아
에이 그건 진짜 오바다 ㅠㅠ,하하 그치 근데 공격안하는 종이라서 여튼 난 무서울듯
스킨스쿠버는 아주 그냥 목숨 걸고 하는 스포츠야!,하하 그것도 익스트림스포츠라거 볼 수 있지
나 방금 빵시켰다가 취소당했어 ㅠㅠ,왜?
재료 소진이라고 ㅠㅠ 취소 문자왔어,이 시간에?
그니까 나 너무 슬퍼...,뭐 시켰는데?
인절미크림빵이랑... 단호박 들어간 식빵 같은거...,진짜 유명한 집인가봐
그런가봐... 난 배달어플에서 처음 본 집이었는데 주문이 많아서 소진 다 된거겠지,우와 다음번에 더 일찍 시키는건 어때?
ㅠㅠ 눈 뜨자마자 시킬거야,ㅋㅋ 이러다 직접 찾아갈 기세...
찾아갈까 생각하긴 했는데 교통비가... 배달비랑 똑같아서,ㅋㅋ 너무 멀어서 취소당한거 아냐?
그런건가...,큰맘먹고 나중에 가서 사먹어
내일 일요일인데 산책할 겸 가서 사먹어볼까,거리가 좀 멀어서 산책이 아닐거 같긴한데...
그래도 빵은 그럴 가치가 있어,궁금하다 빵 먹으러 그렇게까지.../그럴가치가 있다는게...
어제 운전하다가 사고 날 뻔 했어,어쩌다가? 많이 놀랐겠다
뒤에 있는 차가 갑자기 끼어들기를 해서,갑자기 끼어들면 놀라기는 했겠다/보험 처리 할 정도의 사고는 아닌거지?
아니어서 다행이네,아 그 정도 아니면 다행이야/운전 면허 시험볼때가 생각 나네/신호가 주황불이 였는데 건너야 할지 말아야 할지 생각하다가 큰 일 날뻔 했어
조금 참고 다음 신호에 가면 편하지,응 그렇게 하고 싶었는데 처음 운전하다 보니 더 긴장되고 고민하다가 결국 실격 당했지
그래도 합격해서 운전하고 있으니 잘했지,그렇지
나 미용실 갈까 생각 중이야.,왜? 무슨 일로 가려고?
볼륨매직 해봤어?,아니 들어보기만 하고 안해봤는데./그거 머리 피는 거 아니야?
근데 볼륨감을 넣어서 좀 더 풍성해 보인다던데?,아 그래서 이름이 볼륨매직이구나./얼마 주고 해?
많이 비싸지?,응 많이 비싸네./요새 미용 가격이 다 올랐더라고.
비싼 돈 주고 하니 머리 잘됐으면 좋겠다.,그니까. 다음에 머리 하면 보여줘.
요새는 치킨이 아니라 닭강정이 먹고 싶어,예전엔 동네에 많았던거 같은데
뭐가?,닭강정집이!
근데 요샌 잘 안보여,왤까?
닭강정이 유행이 지났나?,유행타는 음식은 아니지 않아?
그런가? 한때는 엄청 많았던거 같은데 요새는 가게가 잘 안보여서,치킨집이 더 많아져서 그런가?
그럴수도 있겠다,치킨을 반마리 파는 집도 많으니까
닭강정 먹고 싶어서 백화점에서 사먹었는데 양이 너무 적더라고...,백화점 닭강정은 그렇더라고
응 ㅠㅠ 그래서 집 주변에 있던 닭강정집 없어진게 너무 슬펐어...,아니면 시장 가야할듯
맞아 아예 시장 속에 들어가야... 사 먹을 수 있을것 같아,점점 추억의맛이 되나봐
예전에는 그냥 깔린게 닭강정집이었는데,그러니까 말이야 너무 아쉽다
이번에 렌트했는데 생각보다싸더라,얼마던뎅 ?
2박3일에 14만원 ㅋㅋ 아반떼 신형,오 삼십퍼는 싸넹
쏘카보다도 싸더라 ㅋㅋ,그렇네 ㅋㅋ 제주는 핵 비싼데 ㅜㅜ/담주 제주가잖아. 택시타게
10월엔 억새랑 핑크뮬리 이뻐 택시타고 보러가 ㅋㅋ,웅 주차걱정없는 택시가 짱이겠지
전기차는 좀싸긴한데 ㅋㅋ 운전할사람이 둘이상 아니면 택시하는게나음 ㅋㅋ,앜 ㅋㅋ 난 운전 좋아하긴하는데
그래도 제주도에서 운전하면 해안도로 달려도 나는 잘 못보잖아ㅜㅋ,전방주시 ㅋㅋ
너 뭐하고 있어 지금?,나 지금 화장품 보는 중이야
무슨 화장품 보고 있는데?,스킨 로션이 떨어져서 사려고
어떤 브랜드로 보고 있어?,브랜드는 딱히 모르겠어/오빠는 어떤 거 쓰는데?
닥터지 써봤어?,아니 안 써봤어/그 제품 쓰기에 어때?
쓸 거 없으면 이것도 괜찮을 것 같아.,그럼 화장품 가게 가서 한 번 테스트 해봐야겠다/추천해줘서 고마워
구교환 인기 오르고있나봐,그치 그사람 매력있어...
ㅋㅋ 디피 너 다 봤니?,나...아직 하나도 안봤다
아아 ... 보면 매력 터져 구교환님...,일상생활 인스타 올린것도 보면 웃기더라 하하
ㅋㅋ 아진짜? 구교환 팔로우했어 너?,아 아니 누가 올린 사진? 그런것만 봤어
재밌다니 ㅋㅋ 오케이 접수,구교환 나오는 영화 다 봤어?
필모그래피 해가지고,아 하긴 팬이면 찾아볼듯/영화는 2개 봤다/나온영화 더 있는지 찾아봐야겠어
ㅋㅋ 아 모가디슈랑 하나 뭐야?,반도? 그 좀비나오는거 그거
너 뇨끼 알아?,뇨끼? 그게 뭐야?
안먹어봤니?,아니! 뭘로 만드는건데?
너 감자 좋아해?,감자? 그냥 좋지!
감자 맛이 좀 많이 나긴해,으깬감자니?
응 그런 느낌이야 근데 밀가루랑 섞어서 만드는거야,튀기진않아?
튀기진 않아,그럼... 그냥 전분맛 날거 같은데
매시드 포테이토에 좀 더 밀가루가 섞인 느낌이라해야하나,무슨 맛이나…?
감자 맛이지,그냥 소스맛아닐까?
나 화장품 보려고.,엥 오빠가 무슨 화장품을?
선크림이랑 파운데이션 보고 있어.,아 오빠도 그런 화장을 해?
당연하지. 요새는 남자도 화장하는 시대잖아.,그렇지. 오빠 화장하면 더 잘생겼을 것 같은데?
아니야. 그냥 조금 하얘지는 것뿐이야.,그러면 더 잘생겨지는 거 아니야?
그렇게 생각해주면 고맙지.,아무튼 마음에 드는 화장품 잘 고르길 바라.
알겠어. 잘 찾아봐야겠다.,모르는 거 있으면 도와줄게.
지민...기사나왔더라...오늘,지민? aoa말하는거지... 어떤기사야?
어어 맞어...AOA지민...그냥 이웃주민 제보를 바탕으로 한 인터뷰 기사;,아나 이웃주민 ㅠㅠ 이웃주민이 잘아나?/그냥 오고가고 보기만 할 것 같은디
ㅋㅋ 이웃주민...어어 그냥 강아지산책 나올때 몇번 본다고...그런 이야기 ㅜㅜ ㅋㅋ,아나 ㅠㅠ 나오긴하겠지 ㅠㅠ/설현도 인스타에 사진 올렸다가 악플 많이 달렸다고 기사봄 ㅠ
아 진짜...? 근데 인터넷 보면 또 다들 지민 응원한다는 댓글 있더라,그게 나도 잘은 모르겠어.../민아 그분이 이상하다는 글도 있고 ㅠ 에효
그냥 가만히 있어야지,어어 맞어 인간관계란...
맞어...그 누구도 응원하거나 악플달지 않고 가만히 있는게 낫다...,AOA노래 좋았는데... 안타깝네/단발머리?/ 그노래 생각난다
딸기라떼 마시고 있어,근데 나 궁금한게 있어
뭔데?,딸기라떼랑 딸기우유랑 뭐가 다르지
어떤 딸기우유?,생딸기 우유
음 딸기라떼는 시럽이 좀 더 들어가는게 아닐까?,ㅋㅋ 그런건가?
사실 딸기라떼는 딸기청이 들어가,아 딸기우유는 그냥 우유에 딸기 넣고 갈아버린거구나
둘 다 비슷한거 같아,뭐 그러게 왜 다르게 부르는지 궁금했어
그냥 이름차이고 사실 같을걸?,그래?
사실 잘 모르겠다 하하,ㅋㅋ 나도... 근데 그냥 궁금해서 너는 아나 싶었어
내가 가본 카페는 딸기라떼가 있으면 우유가 없고 그래서 난 같은건줄,ㅋㅋ 알고보면 그냥 같은걸수도
어차피 딸기랑 우유가 들어간단건 똑같으니까... 하하,하긴~
나 성형수술 하려고,갑자기 성형수술을 왜 해
나 쌍꺼풀 없애는 수술 하고 싶단 말이야,그거 정말로 하려고?/수술하면 부작용은 없대?
유명한 병원에서 하면 괜찮지 않을까?,몰라 나는 그런 수술 안 해봐서 잘 모르겠어/남들은 쌍꺼풀 만드려고 하는데 왜 없앨려고 하는거야?
쌍거풀 없애면 느끼한 느낌도 없어지지 않을까?\,그치 분위기가 바뀌겠지/나는 그래도 지금 모습도 멋지다고 생각해
그럼 수술하지 말까?,응 조금 더 생각해봐 나중에 결정해도 되잖아
아까 유퀴즈 재방으로 박지성 나오더라,오 대박 박지성 나왔구아
어엌 ㅋㅋ 근디 보진 않고 다음에 처음부터 보려고 채널 돌림,ㅋㅋ 나도 그러고 안본다 유퀴즈 정주행 ㅋㅋ
그칰 ㅋㅋ 요즘 스포츠선수들이 많이 나오는것 같어,맞어 맞어 올림픽 선수들도 많이 나오더라 예능
다들 말 잘하더라,그니까 예능감 쩔어 ㅋㅋ 박지성도 잘 나온다 티비
어디였지...유퀴즈에 나온듯,아 진짜? 왜?
인터뷰 해야하니깐 교육시켜준대,와... 그런 교육까지 쩐다 ㅋㅋ 철저하다
난 애플 청귤티 마시고 있어,애플청귤티는 뭐야?
솔직히 재료는 모르겠는데 맛은 새콤해,티백이야?
티백이랑 청이랑 같이 들어가는거 같아,음 이름만들어도 상큼할거 같긴해
응 여름에 잘 어울리는 음료야,더울땐 그런게 오히려 잘 들어가더라
맞아 입맛도 돋구어 주고,얼음녹으면 밍밍할거 같아
에이드류는 그런데 티는 크게 문제 없는것 같아,더 우러나나?
없어,아 건강한맛일거 같다…
응응 ㅋㅋ 나중에 한번 마셔봐,응... 하하 애플레몬티 이런거 먼저 도전해보고 마실게
아마 맛은 비슷할듯,아 그래?
군생활 해보고 싶은 생각있어?,아니 미쳤어 왜 해?
하하 동기 여자 중에 해본 사람도 있자나,에이 나는 군대 안가서 다행이야!
멋있는 일인데 미쳤다니 너무하네,ㅋㅋ 아니 난 굳이 안 갈거야
ㅋㅋ 나중에 가야한다면?,가야하는 건 가야지 하하
하하 오 그래도 말은 잘듣네 하하,근데 지금은 군대가 의무가 아니니까
하하 의무라니 군대가 의무라니 으악,ㅋㅋ 군대 다녀오느라 고생했다~
스카이 다이빙 해보고 싶은 생각 있어?,웅웅 해보곤 싶은데 막상하면 떨릴듯 하하
하하 나도 무섭긴 할텐데 해보고 싶어,화장실 필수로 가야지 진심 하하
만약 한다면 스위스나 체코에서 하고 싶어 하하,둘이 타긴어려운걸로 알고 있어 하하
뷰가 엄청 이쁜 곳에서 해보는거지!,국내에서도 함 해보는거도 좋을 듯?
가격도 꽤 비싸서 하하 근데 또 그게 추억이지,웅웅 그런 데 가서 돈 쓰지 언제 써!
삭제된 메시지입니다.,옹옹 같이 여행을 가는거야/나 방금 티 멤버십 업그레이드 됐어!
이번에 아랍왕이 유럽 축구팀을 인수했데,어떤 축구팀을 인수했대?
엄청 큰 구단이야,대박이네! 뉴캐슬은 앞으로 영입이 활발하겠네
응 근데 이게 정치적 목적이 있대,그 구단이 좋아서 인수한 게 아닌 거야?
응 그 사람이 독재자 이미지 탈피를 위한 방법으로 사용하고 있대,아하 긍정적인 이미지를 심어주려고 구단주가 됐구나
맞아 근데 거기에 3조원을 사용할 예정이라고 하더라고,너무 부럽다. 나도 뉴캐슬 팬이 될래
네일아트 해봤어?,당연하지 해본 적 있어/메니큐어 바르는거 말하는 거지?
그거 하면 어때?,그냥 거슬리던데?
그럼 왜 하는 거야?,나도 모르지 나는 잘 안해
아... 그러면 가격대는 어때?,몰라 밖에서 받아본 적 없어/갑자기 그게 왜 궁금해?
아니 그냥 손톱 다듬고 싶어서.,그냥 혼자 셀프로 해
라비올리 알아? 먹고 싶다,그건 뭐야? ?
이건 수제비에 가까워 ㅋㅋ,그것도 감자요리야?
아닝 감자 요리는 아니야,그런 무슨 재료 들어가?
근데 안에 뭐가 들어있어,그럼 만두 아니야?
맞아 ㅋㅋ 만두 같아,그럼 맛있겠다
그치 ㅋㅋ 나중에 나랑 먹자,좋아 뇨끼랑 같이먹으면 되겠다
뇨끼랑 라비올리랑 하나씩 시키면 되겠다,해주는거 아니었어 ?
내가 하면 솔직히 맛은 보장못해,그래도 네가 해줘
그래 그럼 라자냐도 해야지~,오 라자냐도 가능하다니
우리에겐 네이버검색이 있어,ㅋㅋ 유튜브도 참고하자
제주도에 와 보니 아빠랑 신혼여행 왔던게 생각이 나네,아 제주도로 신혼여행 왔었구나/어디 어디 가봤어?
"혼인지 , 천지연폭포 , 만장굴등 생각나네",아 거의 수학여행 코스랑 비슷하네
