req,res
엌 ㅋㅋ 누가?,홀츠먼이라는 캐릭터가 ㅋㅋ 감자칩을 먹어서 옆에 있는 에린이라는 사람이 아니 이상황에 감자칩이 먹고싶냐하니깤 ㅋㅋ 홀츠먼이 '이 짭짤함을 어떻게 거부해요' 이럼
엉엉 ㅋㅋ 거기 걔 햄식이 나오잖아,맞아맞앜 ㅋㅋ 거기서 햄식이가 커피 마시는거도 엄청 웃겨/암튼 감자칩하니까 생각났어 언니는 그럼 프링글스 좋아해?
엉 프링글스도 좋아하는데 나는 포테토칩처럼 얇은게좋아,오 그거 입에서 살살 녹자나 ㅋㅋ
4 : 그치만 인정 어릴땐 포카칩을 좋아하는 맛알못이었지만...,근데 포테토칩 너무 양이 적어ㅠ 슬퍼ㅠ
맞아 기본사이즈 사면 늘 아쉬워서 큰거사야함...,맞어ㅠㅠ
"여름이 안 끝날 줄 알았더니, 이번 주 부터 확 쌀쌀해졌네",나는 오늘 너무 추워서 반팔에 기모후드집업 입고 나갔다왔어
진짜 반팔 잘못 입었다가 얼어 죽을 뻔했어 난 ㅋㅋ,비오니까 습해서 집은 덥고 밖은 춥고... 어려운 날씨야
맞아... 그래도 집에 있는 건 답답해서 나가려는데 비는 또 쏟아지고ㅠㅠ,평소면 30분이면 가는거리를 비와서 45분정도 걸려서 약속 늦을 뻔했어ㅠ
얼른 확 겨울되서 패딩입을 수 있으면 좋겠네,그래도 나는 옷 예쁘게 입을 수 있는 가을이 더 좋아
요새는 너무 짧아진 느낌이라 슬퍼ㅠㅠ,그런 말 있잖아 4월 10월만 옷 원하는 대로 입을 수 있고 나머지는 반팔아니면 긴팔이라고.../지금 날씨를 즐겨야지
그냥 롱패딩으로 커버할 거 같아 곧,난 그래도 패션리더로서 최대한 버텨보겠어...
백현이도 공익이야,그렇구나 공익이군
내 최애 차애가 다 공익이야 너무 슬퍼,공익이 났지 그래도
민석이는 제대해서 너무 좋아,현역이 힘들어
그래도 기간이 길어서 우리 입장에선 구려,무슨일 생길수도 있고
일반인 인생을 살겠구나,몇달 차이안나지 않나?
건강히 다녀오기를 다칠일도없겠지만,연예인은 괜찮을거야
내일 여자친구 만나는데 옷 차림이 걱정이네...,요즘 밤낮 기온차 많이나서 옷 따뜻하게 잘 입어야해ㅠ
어제 반팔만 입고 나갔다가 감기 걸린 것 같아 ㅠㅠ,헐... 요새 날씨 진짜 감기 잘 걸릴 날씨라 조심해야해ㅠㅠ
그러니까 너도 감기조심해! 외투 꼭 챙기고,응응 요즘 날씨엔 반팔에 외투 챙겨입고 다니는게 최선일 것 같아...
환절기에는 다들 그러나봐,옷을 예쁘게 입을 수 있는 10월이라고들 하는데... 난 오히려 별로인 것 같아...
맞아... 차라리 확 추우면 외투 두껍게 하나 걸치면 될텐데 날씨가 너무 애매해.,빨리 차라리 겨울되면 좋겠다...
막상 겨울되면 또 춥다고 난리치겠질 것 같아서 웃겨,ㅋㅋ 원래 날씨라는게 그런거잖아
연예인들 머리는 다 이뻐보여,방송 조명 받으면 빛나
샵에서 받아서 그런가봐,조명빨도 무시못함
맞아 조명발도 있지,방송 메이크업도 괜히 있는말이 아님
나도 길가면 누가쏴주면 좋겠따,그거 엄청세서 눈부시데
나도 샵가서 받고싶어,방송도 쉽지 않아
맞아 피부도 건조해진대,샵도 괜찮지
결혼식에서 정말 오랜만에 보는 동기들 많았어.,얼마 동안이나 못 봤는데?
적게는 1년 많게는 4년 정도 된 거 같아.,와 정말 오랜만에 본 거구나.
일단 신부부터가 5년만에 봤는걸.,근데도 결혼식 간 거야?
그냥 그 친구랑 잠깐 지냈던 기억이 좋았어서 갔다 왔어.,사람들은 많이 왔어?
그래도 꽤나 온 거 같아.,적게 오는 거 보다 많이 오는 게 낫지.
너네 트래킹 좋아해?,음 아니 딱히?
몸이 안좋으니까 가볍게 트레킹하면서 맑은 공기도 맡고 오는건 어때?,지독하다
페미니즘에 대해 어떻게 생각해?,나는 이런 단어가 생긴 게 별로야
왜? 오히려 갈등을 만드는 것 같아서?,응. 괜히 차이를 두는 것 같아
나도 비슷해. 갈등이 갈등을 유발하는 것 같아,그러게. 괜히 쓰던 말도 조심스러워져
아 페미니즘 단어?,응. 다 알지도 못하는데 실수할까봐 걱정도 돼
나도 오해받은 적 있어ㅠ,그치? 어려운 문제야
너는 노래 안 들어?,나 노래 많이 들어
어디서 들어,멜론 음악 차트를 이용해
멜론이 대중적이지,다양한 노래 많아서 좋아
좋은 노래 많더라,맞아 어플로도 들을수 있어
장르도 다양해서 좋아,멜론 차트가 음방 순위 영향 많이 감
개그맨도 노래 많이 하더라고,맞아 요즘엔 개그맨도 많이 해
오늘 친구랑 친구 남편이랑 9살 차이 나는데도 너무 잘 어울리더라.,9살 차이면 완전 많이 나는데?
근데 벌써 8년째 사귀었으니까 둘은 찐 사랑이 맞는 거 같아.,결혼할 만 했네.
축가에 맞춰서 둘이 리듬 타는 모습이 정말 보기 좋더라.,그 부분이 인상 깊었나보다.
나는 결혼하고 싶은 마음은 없지만 부러웠어.,뭐가 부러웠어?
결혼할 정도로 믿을 만한 누군가가 있다는게 부럽더라.,그런 사람을 만난 것 자체가 축복이지.
요 며칠 새 계속 비가 와서 뭔가 우울하다.,나도 요즘 비가 와서 빨래가 너무 안말라서 기분이 안좋아
넌 원래 비 오는 걸 안 좋아해?,비오는 소리 듣는건 좋은데 내가 밖에 있을 때 비오는건 진짜 싫어해
나도 비 오는 소리만 딱 좋아해 ㅋㅋ,ㅋㅋ 그 소리 들으면서 노래 약간 감성있는 노래 들으면 감성이 짱이지...
비 올때는 역시 부침개지!,ㅋㅋ 맞아... 비올때 부침개에 막걸리 먹으면 세상 행복해...
얼른 맑아졌으면 좋겠다.,일기예보 보니까 다행히 다음주에는 비 소식 없더라!
금방 겨울 되겠고 ㅠㅠ,빨래도 다음주에는 잘 마를 것 같아서 기분 좋아...
너 위드코로나라고 들어봤어?,응응 들어봤지~
위드코로나보다는 단계적 일상회복이 맞는 표현이라고 하네!,아 그렇구나 ㅋㅋ 아무튼 언제까지 제한만 할 수는 없어...
맞아맞아 자영업자분들 고생하시는 거 보면 마음이 아프더라ㅠ,그러니까 기준보니까 훨씬 좋아지더라/영업시간 제한도 사라지던데...
응응 맞아 공연도 보러다닐 수 있더라,와 공연 괜찮은 거 있나 찾아봐야겠다
응 나는 콘서트 미리 예매해뒀어 ㅋㅋ,와 부럽다ㅠㅠ나도 내가 좋아하는 가수 공연하는지 찾다봐야겠어
식사 없는 결혼식 처음 가 봤어.,요즘 코로나라서 식사 안 하는 거야?
응응 식사가 있으면 인원이 50명 모일 수 없대.,식사 없는 결혼식은 어떤데?
200명까지 모일 수 있어.,차이가 많이 나는구나.
식사 없는 대신에 답례품 주더라.,답례품은 뭐 줬어?
와인이랑 케이크 있었는데 와인 받아왔어.,답례품도 꽤 값 나가는 거로 주는구나.
이번에 바퀴 달린 집 보니까 열기구 타던데 혹시 타본 사람 있어?,아니.../나도.../터키 가서 타보고 싶었는데...
열기구 엄청 재밌어 보이던데 뭔가 천천히 움직이니까,맞아 재밌을 것 같아 ㅠㅠ
나 그래서 이번에 고등학교 친구들이랑 타러 가기로 했거든. 너무 기대된다.,우와 어디로가?
가서 사진 많이 찍어올게!,그래!
요즘 사람들은 진짜 모르는 거에 대해서 너무 뻔뻔해,맞아 모르는 걸 자랑하는 느낌이야
그러니까 인터넷에서만 봐도 이건 상식이다 아니다 이런 글 보면 좀 답답할 때가 많아,맞아 보면 대체로 정규교육과정 밟은 사람이라면 다 아는 상식들이더라
그러니까 근데 인터넷에서는 잘 아는 사람들에 대해서 어떻게 그게 상식이냐며 되려 혼내더라고,에휴 모르는 게 있다는 건 당연한 일인데 너무 당당하니까 할말을 잃게 돼
심지어 알려고 하지 않는 태도도 보기 좋지는 않더라,응응...상식의 기준이 개인에 따라 다르긴 해도 모르면 알려는 태도를 가져야지...
그러게...참 씁쓸하다...,맞아 인터넷 상식 논쟁 보면 마음도 답답해...
너는 너 전공이 맘에 들었어?,음 전공 나는 괜찮았어 하하
원래 가고 싶었던 곳이었어?,그건 아니였는데 운이 좋았지 하하
오호 공부하는 게 재밌었어?,응 그렇게 안맞지는 않은 거 같아
아하 나도 나름 재밌었던 거 같아 하하,근데 또 깊이 배우면 재미없을 것 같아
ㅋㅋ 맞아 적당히 배우면 재밌는 듯,ㅋㅋ 나름 유용한 것들이 많아서!
결혼식 보고 오니까 나는 결혼식 어떻게 할지 상상하게 되더라.,아놔 벌써 결혼까지 생각했냐고.
일단 오늘 보니까 주례 없는 거 좋아보여서 나도 따라하게.,요즘 주례 없는 결혼식 많이 한대.
사실 주례가 그렇게 필요한지 모르겠어.,조금 옛날 식이지.
내 인생의 스승님이 있으면 모르겠는데 딱히 없는 거 같아.,요즘은 스승과 제자 관계가 예전 같지 않으니까.
생각나는 교수님 딱 한 분 있는데 엄청 유대 있지는 않아서.,생각나는 교수님 있는 게 신기하다.
너네 어릴 때 태권도 배웠니,웅 해봤지 ㅋㅋ 학원 다니느라 바빴다
어릴때 맨날 학교 끝나고 태권도 학원에서 살았었는데 다 추억이네,오 자전거? 받았어?
마음 속으로 다짐하고 굴렀어,진짜... 어린아이의 깡!
싸이월드 언제 정상적으로 이용 가능한 거지,싸이월드? 갑자기 왜?
싸이월드 이번에 부활했잖아 너 몰라?,헐 우리 중학생 때 그 싸이월드?
응 미니홈피 만들던 그 싸이월드,대박이다 그게 다시 생긴다니...
심지어 그때 데이터도 다 복구된대,그건 바라지 않았는데
내 말이 얼른 들어가서 봐야지,내 것도 들어가서 봐봐
어렸을 때 좋아하는 선생님 있었어?,오호 학교 아니면 학원?
음 둘다 포함해서 하하,음 내가 좋아하는 쌤 말고 날 좋아하는 쌤이 있었지
오오 어떤 선생님이었는데?,국어 선생님이었는데 좀 이상했어
ㅋㅋ 이상한 건 뭐야,뭔가 컨셉 잡고 편애하는 느낌?
오호 편애 받으면 좋지 않아?,근데 그렇게 좋진 않았어 ㅋㅋ
친구가 소개팅해달라고 난리야.,주변에 해줄만한 사람 있어?
내 주변에 남자인 애가 없는 게 문제야.,그럼 어떻게 해?
건너 건너 해주거나 해야지.,구하기 힘들겠네.
근데 건너 건너 모르는 사람 소개해주는게 마음은 편해.,아무래도 책임이 덜하니까 편하지.
주변 친구들한테 한번 물어봐야겠다.,언니가 소개해주면 믿을만하지.
앵무새 너무 귀엽더라.,의외로 앵무새 많이 키워.
정말? 난 몰랐어.,응 유튜브에 앵무새 쳐 봐.
말하는 앵무새도 키우나?,응 많이 키우더라.
앵무새는 수명이 얼마나 되나.,나도 잘은 몰라.
그래도 짧지는 않은가 봐.,응 생각보다 긴 걸로 알고 있어.
너 혹시 다음주 날씨 봤어?,아니? 아직... 다음주에 또 비와?
최저기온이 4도래 4도! 말도 안되지 않아?,엥...? 겨울아니야...? 나 아직 코트 한번도 안입었는데...
여름이 지나면 가을이 스킵되고 겨울이 오기 시작한 게 ㅠㅠ,10월 중순에 그 날씨 실화야...? 원래 그런거야...?
갈수록 이상 기후가 심해지는 게 체감 되는 거 같아,왠지 밤에 너무 춥더라...복선이었나...
ㅋㅋ 싸늘한 밤 공기가 복선이었던 걸로...,ㅠㅠ 속상해... 내일 패딩 드라이 맡겨야겠다...
지구 온도가 상승해서 가을이 없어진 거래,헐... 진짜 자연 오염이 심각하구나
몇도만 더 오르면 완전 망한다는데?,그걸 해결하려면 어떻게 해야한대?
완전 해결은 어렵겠지만...,일회용품 줄이고 하면 되나?
일회용품은 당연히 줄여야하고 에어컨 등등도 사용 못하게 막아야할듯...,아 근데 여름에 너무 더워서 안될 것 같으데...
근데 지금 진짜 심각해서... 10년도 안 남았대... ㅠ,10년 뒤에 지구 망하는 거?
아 나 내일 티케팅 해주러 가야 돼,무슨 티켓팅?
피시방 또 가야 되네,뭐 해주는딩?
김준수 엑스칼리버 막공이라던데,아 진짜? 친구거 대신 해주는거?
응 응 친구 김준수 팬 있어,내 친구 중에도 있는데 ㅋㅋ 신기하당
아니 내가 어제 부탁한 게 있어가지고 거절할 수가 없었어,그럼 해줘야지 상부상조
요즘 다시 학교 다니고 싶다,ㅋㅋ 왜 학교가 가고싶어?
음 뭔가 학생 때 느낌이 그리워,아하 학생 때 학교에서 노는 그 느낌
맞아 ㅜㅜ 학생 때만 느낄 수 있는 거잖아,ㅋㅋ 어렸을 땐 선생님들 말하는게 귀에 안들어왔는데
맞아 ㅋㅋ 내가 생각하는게 맞는 거였잖아,웅 이제 어른이 되니까 좀 이해가 되네 ㅋㅋ
ㅋㅋ 학생 때처럼 살면 재밌을 거 같아,맞아 근데 내 자유가 좀 없어지긴하겠지 하하
금붕어를 키우기 시작했어.,정말? 귀엽겠다.
빨간 금붕어인데 귀여워.,몇 마리 키우는 거야?
두 마리 키우고 있어.,관리는 잘 돼?
물 관리가 중요한 거 같아.,오래오래 잘 살면 좋겠다.
응 잘 키우고 싶어.,너는 잘 할 거 같아.
너희 번지점프 해봤어?,아니! 안해봤어/죽은 사람 있더라고 ㅋㅋ
내 버킷리스트인데 이번에 기회 되면 해보려구,오 어디서 하게?
용인에 있다고 하더라고 그래서 해보려구,ㅋㅋ 무섭긴해. 분당에도 있는데 여기서 해. 구경갈래/응 맞아 거기!
오 가까우면 거기서 할까? 같이 뛰자,난 구경할래...
노태우 사망했대,노태우? 이미 죽은 거 아니었어?
아니야 ㅋㅋ 오늘 기사났어,헐 ㅋㅋ 나 왜 죽었다고 알고 있었지?
사실 나도 죽었다고 알고 있었음 ㅋㅋ,오래도 살았다
"기사 보고 헐, 햇잖아",나도 놀랬다 야 ㅋㅋ
사람들도 다 놀랬더라 ㅋㅋ 나도 놀랬고,그래도 긍정의 반응을 보이게 되는 건 어쩔 수 없군 ㅋㅋ
넌 학창 시절에 수업 열심히 들었어?,아 난 완전 열심히 들었어 ㅋㅋ
아 진짜? 수시 준비한다고?,아니 그건 아닌데 그냥 수업은 잘 들었어
ㅋㅋ 완전 성실했었네,아니 그건 아닌데 그냥 수업은 잘 들었어
ㅋㅋ 그러면 학원은 안다녔어?,아니 학원 가야하는데 그새에 자가지고 ㅋㅋ
ㅋㅋ 학원가면 피곤했겠다,맞아 하나만 할 걸 그랬나봐 ㅋㅋ
기니피그 알아?,기니피그가 뭐야?
생쥐같은 동물이야.,정말? 징그럽지 않을까?
생각보다 귀여운 동물이야.,나도 한번 찾아봐야겠다.
예전에는 많이 키웠었어.,정말 생각보다 귀엽네.
응 햄스터 닮았지?,응 엄청 큰 햄스터 같아.
올림픽공원에 오징어게임 영희 있대,헐... 그 무궁화 기계?
응응 무궁화꽃 로봇,그걸 거기다 왜 갖다놨대?
내말이 ㅋㅋ 외국인들 많이 가라고?,와 오징어게임이 흥하긴 했나보네 올공에다 갖다놓을 생각을 다 하고
내말이 다들 거기서 사진 찍고 놀더라고,더 흥해서 외국으로 출장도 가길 영희야
외화 벌어와라 영희야,근데 출장 아이디어 좀 좋은듯?
어제 한식특집 봤 거든 무한도전,엉엉 그거 김치전?
개 재밌어 떡갈비 만들고 싶어서 그것만 보면,김치전 아니라 뉴욕가서 음식하는건가?
아 김치전도 있지 맞어 개웃김 진짜  정주나,맞아맞아 근데 그 김치전 보면 완전 화나
그것도 한식특집 맞는데 뉴욕 가서 한 거 일껄 길게 했더라구,아 그럼 뉴욕간건가보다 그거 진짜 재밌었는뎈 ㅋㅋ
나는 그냥 그 사람 원래 그런 사람 같아서 화는 안 났는데 저걸 저렇게 방송에서 티를 내냐 으이구 철없다 싶더라 ㅋㅋ,아 진짜 보는 내가 답답하더라니깐?
그 긴 했어 그리고 딱 바도 김치전이 맛있어 보여 쓰면 이해가 가는데 맛이 없어 보이는 거야,맞아 맛없어보여
학창 시절에 학교 가까운 편이었어?,초중고등학교 중에 언제?
음 세 군데 다 하하.,웅웅 나는 세 곳 다 걸어서 다닐 수 있는 거리였어.
와 되게 가까웠나 보다.,웅 걸어서 최대 20분 정도? 걸렸어 ㅋㅋ.
와 학교 다니기 편했겠다.,맞아 근데 그렇게 많이 걸어 다니진 않았어.
엥 왜 지각할까 봐? ㅋㅋ,웅 원래 가까우면 더 지각하잖아 ㅋㅋ.
요즘은 반려동물이 정말 다양해.,맞아 유튜브보면 정말 다양해.
너가 본 가장 특이한 반려동물은 뭐야?,난 악어를 봤어.
악어를 키운다고?,응 악어를 키우더라.
악어를 어떻게 키워?,너가 생각하는 큰 악어는 아니야.
작은 악어가 있어?,응 미니 악어가 있더라고.
다음주부터는 진짜 위드코로나네,그니까 솔직히 안될 줄 알았어
나도 반대 여론이 너무 커서 안될 줄 ㅋ,근데 언제까지고 이렇게 살 수는 없잖아?
맞아 나는 완전 동의해,나도... 그렇다고 막 풀어지라는 건 아니니까
응응 백신도 많은 인원이 접종했고 지금처럼 마스크 잘 쓰고 다니고 하면 괜찮을듯,지금 미성년자들도 접종 중이니까 시간 지나면 더 괜찮겠지
마스크 잘 쓰고 지금처럼 지내면서 거리두기 같은 거 풀어주면 될것같음,ㅁㅈㅁㅈ 나도 그렇게 생각해
빨리 프랑켄 프레스콜 뜨면 좋겠다,아 진짜 궁금해 빨리보고싶어
나도 진짜 빨리 보고싶어ㅠㅠ 이번에도 프레스콜 해주겠지...?,제발 해줬으면 좋겠다ㅠㅠ/해주면 언제쯤 나올까?
공연 한달전부터는 풀지않나ㅠㅠ,그럼 이제 나올때 됐는데ㅠㅠ
그니까...믿는다 용범...,아 근데 기자들 모여야하니까 프콜 안해주면 어케 코로나때매
다 흩어져서 찍지않아?,글킨하지...? 제발 해조~!
안하는거 에바라고...박제해야한다고...,맞아 디비디도 안내줄거아냐~!
학창시절에 급식 잘 먹었어?,ㅋㅋ 와 급식 오랜만이네
그치 ㅋㅋ 난 급식 좋았는데,나는 그냥 그랬던 거 같아
오 급식이 맛이 없었나?,응 그런거도 있었고 반찬도 별로였어
아하 우리학교는 꽤 맛있는 편이였어,오 그럼 석식도 챙겨먹었겠네
웅웅 많이들 먹고 그랬어,ㅋㅋ 그건 좀 부럽다
아직도 사람들 불법 다운로드 많이 하지?,그렇지./아직 불법 다운로드가 심각하게 막힌 게 아니니까.
맞아 가격 차이도 엄청 나니까 할 수밖에 없네.,그냥 양심 문제지...
맞아 그 사이트가 없어지기는 힘들 거 같아.,내 생각도 그래...
불법 다운로드 없어지면 사람들 다 정규직으로 보겠지?,근데 불법 다운로드 안 보게 하려면 정규가 가격이 내려야 돼.
맞아 차이가 얼마 안 나야지 정규로 보지...,응 근데 차이가 너무나...
수능 영어 그 등급제 사라진거 알아?,엥 그게 무슨말이야?
그냥 점수를 기준으로 등급 나누거든,와 왜이리 좋아졌대?
그니까 요즘엔 영어공부 많이 안할 듯,웅웅 적당히만 하면 되니까
와 점점 간소해지고 있네,그치 교육과정이 너무 바뀌지
그거도 좀 문젠거 같아,그냥 그대로 냅두지 바꿔서 더 헷갈릴 듯
요즘 날씨 어떤 것 같아?,요즘 선선하니 딱 좋아/난 지금 정도 날씨는 딱 좋은 것 같아
비가 너무 많이 오지 않았어?,응 맞아 너는 비 맞았어?
너는 비 좋아해?,응 나는 빗소리를 좋아해
비오면 몸 안아파?,너는 벌써 비가 오면 관절이 쑤시니?
응 나는 무릎이 많이 아파,저런 특별히 조심해야겠다
요즘 젊은 사람들 고독사가 많대,혼자 사는 젊은 사람들?
응 1인 가구가 늘어나고 있잖아,너무 안타까운 현실이다
고령화는 계속 진행되는데 말이야,청년들이 살기 힘들긴 해
너도 지금 혼자살지?,응 나 가끔 화장실에 갇히면 어케 될까 생각해
