req,res
응응,그래 해야지.../오/가벼운소설이라고?/응응 맞아  귤도좋앗고/아무튼 그거 써야하는데/내가 기둥이 없는 줄 알고 후진하다가/뒷범퍼+라이트 깨먹음/약간 하향 평준화인감.../돈써주기싫어/고성에 엄마 일하시나?/아니 그렇게 되있던건 아닌데 여름에 밖에 두려니까 왠지 안좋을거같아서/다갸 이번에 차 가지고 갈까?/폰으로 안 열리네 내가 노트북으로 봐볼게/오빠 혓바늘 너무 아파 죽겠어/혀가 찢어지는 건 아니겠지/잘 회복이 안되더라ㅠㅠ/그렇게 기억에 안남는거 보면 없나봐/눈물샘 있는 쪽이 가려운거 맞나?/오늘 파도가 거세 장난 아냐/닭가슴살 꾸이칩도 샀는데/역시 닭가슴살로 만든건 좀 비린내가 난다.../닭가슴살 만두도 좀 비려/닭가슴살 만두는 굽네가 진짜 맛있더라/나중에 함 먹어봐/어떻게 꾸역꾸역 채우고 나서 시키면 꼭 주문하고나서 '아 이거 사야되는데!' 하고 생각난다/그럼 그거 또 만오천원 채워야되잖아/3년 쓰면서 완전 멀쩡했는데 배터리가 엄청 빨리 달아서 그래서 바꿨어
아 이모티콘?,네
그게 뭐임?,그이모티콘만들어서파는거임
와 그런것도있음?,네
어케하는거지,유튜브에많더라
돈이 될라나,엄청간단해/그래서 아이패드사고싶어
아니 나 엄마,웅웅
오늘 제주도 간 것도 몰랐어,그니까
엄마가 갑자기 카톡으로 자기 공항이래,나도 어머님 제주도 가셨다고 해서
아빠랑 사이좋게 지내고 있으래 ㅋㅋ,깜짝 놀랐네
진짜 어이없었어,ㅋㅋ
근데 그와중에,우웅
모르겠지,웅웅 모르징
뭐라고 했냐면,웅웅
잘가라고 했어,칼인데? 그냥 잘라버리내
우리 이제 곧 벌써 300일이야 미쳤어,맞아 4달? 지나면 1년이야
1년이야,놀러가자 하하
그러면 역시 겨울엔 롯데월드지,ㅋㅋ 아니라고/그만가
아니야? 하하,맨날 롯데월드만 가/다른데도 좀 가자;/근데 우리 300일 날짜 언제야?
우리,웅웅
나 오늘 운동 많이함,난 오늘 겨우 함 뭐해
흠 나 요새 등운동 새로 하려고,점점 늘어나네
ㅋㅋ 근데 매일 다른 운동으로 하고있어,근데 매일 다른 곳 건드려줘야해 꾸준히만 하면 됨
응 맞아 꾸준한게 중요한거같음,꾸준히 해
특히 복근이 제일 꾸준해야하는거같아,복근은 진짜 인정
나는 지금 내가 틍이랑 복근이 제일 약한 부위같음,복근은 인정
등이 특히 라운드 숄더랑 관련되있어어 최근 좀 운동을 빡세게 하려고,봉저거 이용해
라운드 숄더 없애는게 제일 중요한거같아,그건 왜
아 근데 턱걸이는 좀 그래,아프냐
응 좀 아파,그럼하면안되지
우선 근육을 좀 키운다음에 해야될듯,요새많이늘엇는데
그래서 주변근육을 키워서 안아프게 만들어서,그게 가능한가
우선 차근차근 해야 되겠어,ㅋㅋ 그래그래 열심히 하는게 중요하지/피방가야해/맞아 롤해야해
그거 장점이 롤 챔 다할수있지않나 아닌가,롤챔프다됨 응응
와 그런 혜택이,거기서렙업해야해
으응? 렙업?,ㅋㅋ
무슨말임 렙업은,쪼렙으로 랩업해야 함
으응? 왜용,피방에서다하니까 아무챔이나골아서/골라서 하는거야/쪼렙때 챔없어서
아하 그럴수가 있구나 대박,그래서피방조음/그리고컴이조으니까... 그냥 피방에서하면 잘 됨
그렇지 컴조으니,피방컴짱
아니 요새 입추가 지나서 그런가 많이 쌀쌀하네 비오고 거기두 춥지?,응 엄청 춥더라 우산 나도 회사에 두고 다니는데 요새 비가 갑자기 많이와
가을비겠지? 날이 춥고 덥고 오락가락하니까 너무 힘들다 ㅠ,"맞아, 얇게 입어도 가디건 필수잖아/사무실에 하나씩 두고 다니자"
기상청 날씨 예보도 잘 안맞아,너무 안맞아서 그냥 안보고 흐리면 우산들고 겉옷챙겨야해 딱 감기 걸리기 좋겠더라구
저번주 주말에는 나 급 운전하는데 비가 앞이 안보일정도로 내려서 기겁했잖아,맞아 엄청 내리던데 그때 하필 운전했구나ㅠ 막 천둥도 치던데/근데 어느지역은 비 내리고 어느지역은 안내렸대 !
다른차들도 다 위험해서 기어서 가다가 갑자기 평온,그래도 이번여름에는 태풍 크게 안와서 다행이야
우리 어릴때는 태풍 매미 막 이런거 엄청 난리여서 학교도 못갔잖아,맞아맞아 기억난다 그떄 진짜 나무 넘어지고 자연의 신비였어/인간은 자연앞에 진짜 미물일 뿐 인 것 같아 이럴때마다
나는 차라리 겨울이 좋긴한데 여름에 너무 힘들정도로 폭염이라,알지알지 막 힘들어서 식염포도당도 먹었었잖아/겨울이 아무래도 여름보다 갑자기 길에서 사람들 더위로 쓰러지진 않으니까 나도 겨울이 더 좋아
맞다 갑자기 날씨 생각하니까 요번에 뉴질랜드 110년만에 이상기온으로 49.5도까지 올라갔다는 기사 봤어?,아 헐? 뭐야 대박이네 나도 그거 언뜻 본 것 같은데 자세히는 못봤어/막 고무가 녹고 표지판 녹고 그건가?
49.5도...진짜 사람 그정도면 사람 삶아지겠어…,진짜 대박이다 우리도 폭염인데 뉴질랜드는 더 심하네…
그러니까 ㅠㅠ 이러다 우리 자손은 50도 속에서 살고 있는건 아닌지...,아 맞다 나 아까 뉴스보는 원래 지금 내리는 비가 가을비는 맞는데 때 이르게 찾아온 가을비래...
헐 원래는 지금 내리면 안되는건가?,원래 좀 상층에 있던 차가운 공기가 머물고 있었는데 제주도 남쪽에 있던 정체전선 북상해서 대기가 불안정해서? 가을장마가 이르게 온거라고 하더라구
와 어쩐지 이시기에 원래 비가 이렇게 잦게 내리나 했잖아,와 나도 지금 보는데 초속 15미터 돌풍에 시간당 30미리 비랑 우박 내릴지 모른다네 날씨 왜이리 무서워...
어차피 코로나인데다가 못나가니까 제발 평일에 출퇴근길만 비 안내리고 버텨주길 ㅠㅠ,222맞아 나도 ㅠㅠ 안그래도 가는길 험난한데 우산에 비 뚝뚝 흘리면서 지하철 타고 싶지 않아…
근데 이와중에 코로나도 돌풍이랑같이 날아갔음 좋겠다…,맞아…옆구리에 폭염도 껴서 로나씨 데려갔으면…
그와중에 에어컨 미친거 아닌지,어후 진짜 미친거 아닌지…이렇게 선선한대 에어컨 돌리는 것도 이상기후 한몫 할텐데/뭐만하면 왜자꾸 틀어대는거여…
핵춰서 겉옷 빌려 입었당,어휴 여기는 그래도 온도 괜찮아/아직까진 따뜻해서 에어컨 필요해 ㅠㅠ
요새 삼성전자 엄청 떨어짐,난그래도이익남
요즘 내주식도,더사고싶엇는데
뭐? 다 떨어지는데 어케 이익임,약간요새 배당주
뭐냐...,엄청쌀대삼 후후
내가 배당주인데 후드려 맞았는데,?
계속 떨어지는 추세임,지금들가면되냐 ㅋㅋ
아...,너가 후두려맞으면 지금이네 ㅋㅋ
지금이 기회다,아지금사야겟다
지금이니~ 가보자,배당주지금사서 좀 묵혀두고
근데 아무튼 요새 왜이러냐,배당계속받고
갑자기 막 떨어지는뎅,요새뭐 해외도 국내도
배당에 목매는 사람 또왔네,ㅋㅋ당연하지
해외 뭐가 문제야,이제연금이두개다
테이퍼링 말하는거니,테이퍼링 빨라진대 응응
아 그런거 머리좋은애들이 문제구만,하여튼
다 구속시켜,다너때문임 경상계열
우리처럼 평범하게 주식하자고,어휴
ㄴㄴ 이과들임,맞아
주식은 뇌동매매로 하는거야,너때문임!
나 요새 은행주 너무 떨어진듯,힘내...
암튼 나쁜놈들인데 아프간 점령하고 있었던건 알아?,응응 그랬다가 미국이 다시 민주정부로 만들어주고 지금까지 계속 도와주던거 아니였어?
어어 그런데 탈레반이 계속 아프간에 여러 도시점령하고 그래서 4월에 미군도 철수했대 ㅠㅠ,헐 아프간은 군대 같은건 없었어?/탈레반이 너무 쎄서 그런가?
근데 아프간 수도 점령당하면서 아마 다 몰살시킨듯,와 완전 무섭다 ㅠㅠ/그럼 거기 국민들은 어떻게 되는거야?
근데 이상황에 대통령은 제일 빠르게 현금을 다 들고 헬기타고 튀었대,아니 대통령 뭐하는거야 나라 안지키고 돈이나 들고 튀고 ㅡㅡ
21세기에 말이 되냐ㅠㅠ,아이고야 검색해보니깐 탈레반이 총들고 다니면서 집집마다 문두들기면서 출근 안하냐고 그러고 있대
아니 그렇게 총들고 무장하고 다니면서 여차하면 죽음당하는데 그상황에 출근을 어떻게해요ㅠㅠ,와 진짜 출근하라고 총들고 찾아다니는거 너무 무섭다 ㅠㅠ
내가 쓰는 클렌징폼 다시보니 좋은거같다,? 이정도면
추천합니다,그냥감정이들어간거다 오늘감정 어제감정
나랑 맞아,어케조음
이게 피지를 제거 아주 잘해줌,요새피부조아졋어 아주
그렇게 좋아지진 않았는데 예전이 넘 나빳지,누난요새 자꾸 뭐가남
너무 관리 안한게 후회되네 뭐가,나도
그러지...,좁쌀같이머가남 ㅠㅠ
아하... 그거 크림 바르는거 있던데,오래된화장품써서그런가
아니 이제 쓰지마...,줄넘기할때 수건 써서그런가 모르겟네
오래된거는 오래된만큼 쓰면 안대요,머리팩이나해둬야겟다
음 그래,바디로션은진짜못쓸거가아/이제 무서움
바디로션 버려,아니저거 머리팩으로 하면 조음
이제 몸소 느끼는구만,엄청조아진다저거
아직도 못버렸네 미련 미련쟁이,ㄴㄴ저거진짜 머리팩하면 엄청조아 머리찰랑거림 힘이잇어 막
흠... 그래...,미용실에서 관리한거보다
응... 그래그래...,더조음
그렇다구해주지,진짠뎅...
야 차이카드 가 좋음,빨리 추천해줘
일반신용카드보다 할인혜택도 좋고,그니까 어서 초대장 ㄱㄱ
아 ㅋㅋ 국민카드 신용카드 잇나,응응 잇음
아 아깝다,왜
그거 없으면 캐시백 좋은거 잇는뎅,?어떤거 뭔데
그냥 신용카드 프로모션임,아 그거봄
나 이미 신청햇어,아그래서 열심히쇼핑햇굼
소비 많이햇자나 그래서 요즘,ㅋㅋ 오쩐지
아주 행복해,ㅋㅋ 돈쓰니까좋냐
할인도 받고 소비도 하고,부럽네...
아주 좋죠 ~,나도하고싶다/나도체크카드 만들어야해
차이 만들어,그거만들고싶어
그건 알아서해,이놈이
니할일이다,ㅂㄷㅂㄷ
요새 유튜브 뭐 봄,요새 롤밖에 안 봄
아하...그렇구만,넌
난 롤 유튜브는 구독은 안해놓음,ㅋㅋ 구독안해도
난 애니 소개 유튜브,자연스럽게 자꾸늘어남
애니매이션 소개 유튜브 많이봄,그런건 그냥 짤로나옴?
그냥 다 해주던데,영화 소개처럼 하나/응
맞아 그냥 그렇게 다 해줌,근데애니는 요새 뭐하나/일본건가 다
이제 오덕후랑 말좀 섞어볼정도 된듯...?,우리나라 애니 봐
없음,뽀로로
웹툰밖에,아기상어 이런거보셈
누나 나혼자만 레벨업 알음?,? 그게머야/너 혼자 렙업 했다고?
그거 재밌을거같아서 봄,머야그건 롤 너혼자 렙 업 했단거임?
라이트소설,라이트소설?
누나 예전에 책방가면 만화책 옆에 소설책들 있었잖아,네
내가 예쩐에 저거 읽는거 이해안간다고 햇던거 그게라노벨임,ㅋㅋ 뭐지/다 이해 안간다 하지 않앗나
ㅋㅋ,그냥 인소 이런건가/차려야함/어차피/구두는신어보고사야해/어떠냐 ㅋㅋ/ㅋㅋ  그래서 안팔린건가...?/착지/바아아로 역가스라이팅/근데 데리러 왓는데 키도 크고 잘생기면 금상첨화/언니랑 같이 살기가 싫은가봐/당연히 줘야 되는거지/맨날 뭐시킬테니까 출첵이랑/이벵하면 하라하고 ㅋㅋ 싫지않을까/장바구니에만 넣어놔 ㅋㅋ/ㅋㅋ 맞아 운동하는거 보니까 멋있더라/액정타블렛은 보통 얼마정도해?/그니까 실내자전거가 사야되자나 ㅋㅋ/그거 꽤 비싸지 않아?/근데 화면 나오고 하면 재밌긴하겠다/능력치가?/아 진짜? 뭐 보러가?/나빠 나빠카카오/그것도 그렇고/기특함^^/정말 서러워서ㅔ
인터넷 소설 같은거 맞음,잉 그렇구나
애니 자주보시나요,뭐보는데너
요즘 피안도 어케돼쌴,ㅋㅋ그거그냥묻힌거아님
피안도... 궁금하다,초창기엔 대박이엇는데
저번에 쳐보니 아직도 연재중이더라,? 진짜냐
난 여태 만화본것중에 피안도가 제일 재밌었어,난그거랑저거 기생충인가
어떤거용 기생수?,기생하는거 그머지
기생수 그거?,영화나온거 기생수인가
기생수 맞음,ㅋㅋ그거재밋엇는데
그거 만화로 봄?,응응
이토준지껀가,만화책
아하... 그거 재밌게봄?,난재밋엇어
우리 그때 기억나냐 영화로도 봤자나,ㅋㅋ엄청귀여미
서울에 갈곳 없나,누난요새 디저트카페 이런곳가고싶다/안가본지오래돼서
어디요?,그냥 빵집이런곳
디저트 근데 누나 마카롱같은거 싫어하잖아,달달한거 먹고싶어/근데 빵은먹잖아
단거 투성이들 별로 싫어하지않나,아 그렇게 단거말고
디저트하면 마카롱밖에 생각안남,그냥 뭐 그냥 빵들
아하...,마카롱을 그냥 없애봐/뭔지알지?/생각을하덜말어/그거음질안좋아서 통화는별로야
나는 너무 달면 별로야 ㅋㅋ,빵도 달음
난 케익도 싫어,나도 난케익그냥 조각케익정도?
난 솔직히 그냥 조각케익 정도,응응  조각케익이  먹기조아
큰거 하나사면 별로임,그건 이제 사람 많을 때
근데 조각케익은 주제넘게 비싸,... 그거였군
서울에 디저트 카페 가보자,오 진짜 가자 ㅜㅜ
예전에 가보고싶엇어,뭔데
저기 공짜라서 좋아했음 ㅋㅋ,ㅋㅋ 공짜좋지
등촌동이,웅웅
그리고 내가 아마 등촌동으로 가면,웅웅
가양역 쪽으로 갈거란말이야,일단 역세권이면 좋지
가양역이 급행이 있어서,우웅
9호선 급행이면 금방 가니까,맞지/그리고 등촌동이면 올림픽 대로도 타기 쉽고
그거는,나중에내가 차사면
메리트 없어 ㅠㅠ,가기더 편해
얼른 사서 이리아 와,알겠어 ㅋㅋ
진짜 뚜벅이는 너무 제한적이야ㅠㅠ,그건 맞아
회사 요즘 어때,야 말도마라/일 안해서 좋음
아 언제임,지금 법인 중간 결산 하느라 짜증이 너무남
아하... 법인이라니,진짜 거래처마다 왜케 난리임
극혐이네 거래처들 ㄷㄷ,그래도 법인은편한데 법인인데 개인처럼하는 곳이 문제임/진짜 짜증남
ㅋㅋ 그런사람들 역시 지독하다,
에휴,악덕이야 가족 회사 망해라/사라져야해 가족 회사/잘먹겟다
역시 중소기업 특이죠,제발 회사는
백두혈통 중소기업,경영자는 멀쩡한 정신 감정 받은애만
웅웅,나 군대생활 평범하게 했다고 생각하는데/어느과랑/햄스터 랑 안놀아/좀 까불되면서 가끔 장난 첬을템데/그 때 우리나라도 확진자 손에 꼽히는 정도였고/이런일이 있어서 그 초소는 더이상 사용하지 않고 폐쇄 되었다 그런 괴담이 있었지/나올시기 거의다 지난간거 아냐?
웅 그런가...? 아닌거같은데,솔직히 난 평균이라고 생각해
오키...,군대 들어가면
웅웅 ㅋㅋ,생각 좀만하면 바로 알아
근데 알아도 못하는 애들 많잖아 인정?,그건 맞아
너네 만난지 얼마나 됐지?,우리 차수로는 6년차구 5년 다되가! 엄청 시간 빠르다 !
