,req,res
34,난 그렇게 자기 위안 키키,아니면 비트코인 샀으면 좋았을 텐데 키키
35,키키 그럼 우리 지금 뭐하고 있을까,대학교 때 공부 안 하고 술만 먹은 듯...
36,점점 가족이 소중해지지?,가족은 항상 소중 ㅠ
37,부모님이 사실 우리랑...,나이 드니까 가족의 중요함을 알게 됐어
38,시간이 많이 남진 않은 듯,어릴 때 왜케 말 안 들었을까
39,내 마음만큼 말야,부모님 생각하면 울컥 ㅠㅠ
40,사랑을 돌려 줄 시간이 부족해,진짜 내 같은 딸 낳으면 못 키울 듯 키키
41,근데 우리 엄마는 안 썩었대,지금이라도 우리 효도하자
42,나 ** 결혼식 때 축가 뭐 부르지...,축가 오빠랑 듀엣으로?
43,내 결혼식 때 했던 건 별루지?,진짜 너무 떨리겠다 ㅠㅠ
44,엉 ** 넘 잘살지,우리 신랑 아주 잘살아 ㅋ
45,벌써 황소 결혼 7년 차임...,진짜 너무 늙어버림 키키
46,완전 결혼 대선배 키키,7년 차라니 후덜덜 하지 키키
47,나도 이제 3년 차 다 돼간당,내가 젤 선배임 후후
48,나 주택 살면 바로 대형견 키울 듯,대형견 키우고 싶었어 나도 키키
49,대형견 넘 귀여워 ㅠㅠ,근데 자신 없어서 포기 ㅠ
50,리트리버는 정말 사랑이야,말라뮤트 너무 귀엽드라 ㅠ
51,우리집 강아지는 훈련이 잘돼있음...,근데 너무 커서 무섭 키키
52,벅수가 얼마나 똑똑한데,근데 커다라면 똥을 엄청 싸긴 하겠다
53,대형견만의 매력이 있어 ㅠㅠ,산책 시키다가 끌려갈 듯 키키
54,동계 올림픽 한다드라 벌써,이제 벌써 그리됐네 ㅠ
55,대박이제,헐 그거밖에 안 남았어?
56,일본이 늦게 해서 그럼,열심히 봐야겠네 또 키키
57,아 근데 넘 난리라서,그래도 응원하는 맛이 있찌 키키
58,빙상 연맹 꼴배기 싫다,이번에 어느 나라더라
59,베이징! 중국~,맞다/중국이라 별루당 ㅠ
60,요새도 롤 많이 하더라,롤은 항상 인기겜 ㅋ
61,롤은 참 인기가 끝이 없네,나 소나 장인인데!
62,배그가 더 재밌더라 키키,배그도 존잼이지
63,소나가 뭔데? 캐릭터,하루에 10시간씩 하고 그랬음 키키
64,뭐가... 하루에 10시간?,소나 서폿이야 존잼
65,배그를 10시간씩 했어? 키키,이쁘게 생겨서 좋아해 키키
66,난 스위스 가보고 싶다,스위스 엄청 좋을 듯 ㅠ
67,지금 엄마 은퇴 여행 계획해야 하거든,나도 우리나라 시골 뽀수고 다님 키키
68,어디가 좋으려나...?,어머니랑 가면 너무 좋겠다~
69,해외는 어렵것나,해외로 갈 거야 여행?
70,해외 가고 싶지 당근 ㅠㅠ,함양 은근 좋은데/시골 여행
71,유럽은 넘 인종 차별 심하다 해서 ㅠㅠ,함양에 마을카페 안녕이라고 여기 좋아 키키
72,겨울에 여름 나라 가는 거 짜릿하지 않냐 키키,그렇지/뜨신 나라 가야징 겨울엔
73,난 그런 게 좋더라,요즘 날씨 붕어빵 생각남 ㅠ
74,키키 겨울에 동남아 가기,어묵도 엄청나게 먹고 싶어
75,우리 동네 붕세권이야...,얼마 전에 경대 후문 어묵 먹음 키키
76,매일 3천 원 어디서 챙겨나감...,붕세권 진짜 부럽다
77,엇 거기 아직도 있음?,우리 집 주변엔 아예 없음...
78,내 아이디 해킹 당한 거 말해줌?,헐 무슨 아이디 해킹?
79,나 그거 일할 때 쓰는 메일인데 ㅠㅠ,해킹 진짜 무섭네 ㄷㄷ
80,계정 30일 정지라고 해서 진짜 간 다 내려 앉음,근데 나도 해킹 엄청 당함 ㅠ
81,이상한 카페 졸라 가입해뒀더라 ㅡㅡ,나 네이버도 엄청 털림...
82,근데 샤넬에서 털린 거 같다니까?,최근에 연속으로 2번 당함 ㅠ
83,거기서 보상해줘야 하는 거 아니냐,근데 2중보안 꼭 해 ㅠ
84,일본 사람들도 혐한 심하제,엄청 심하지 일본인들
85,쯔양 독도 가있어서 엄청 공격 받더라,근데 어이없다/왜 우리나라한테 난리;
86,그니까 왜 자꾸,그니까 독도 우리 땅인데 왜 저럼
87,독도가 자기 땅이래 ㅠㅠ,일본 나라는 좋은데 사람이 문제
88,쯔양 불쌍 하더라 근데 키키,독도 우리 땅 맞잖아!
89,갑자기 우리나라에서 이미지 급상승함,쯔양 도와주러 우리 가야 함
90,눈썹 문신 했어?,눈썹 문신 옛날에!
91,** 문신은 협찬 안 받나,안 지워져서 다시 못하고 있어
92,아 지우는 건 못함?,눈썹 문신 협찬 받지 키키
93,** 지금 어찌댐,내가 받아서 ** 했짢앙 키키
94,거기 자연스럽더나 키키,** 이제 곧 리터치 하러 가야 함 키키
95,오빠도 거기 가야겠다,**는 내 신랑이야 키키
96,안구 건조증 어째야 함...,그거 답이 없더라...
97,눈을 자주 깜빡이래;,마그네슘이랑 관련 있어?
98,컴퓨터 하면 눈을 계속 뜨고 있다데?,타자 친다고 눈뜨고 있어서 그래 ㅠㅠ
99,마그네슘이랑 무슨 상관이야,잘 대 안대 차고 한번 자봐!
100,그니까... 의식적으로 감아야 해,마그네슘은 눈 떨림 아냐?
101,당근 블루 라이트 필수임,블루라이트도 이중으로 써야 하구나!
102,진주에 코스트코 안 생기나...,그니까 언제 생기냐구요 ㅠㅠ
103,우리 매일 대전까지 간다...,나 진짜 자주 갈 듯 키키
104,넘 멀어,대전 나도 가봐야겠다!
105,그래서 한 달에 한번은 대전행임...,코스트코 이케아 둘 다 멀당...
106,코스트코 넘 사랑이야,산청에선 그나마 좀 가까운데
107,이케아는 난 별로던디,이케아 동부산점 가봤어
108,방송에서 피피엘 넘 심해서 어이가 없음,그니까 광거 쩔잖아 키키
109,키키 드라마 보다가 헛 웃음 나와,너무 웃김 딱 티 나서
110,스우파도 비누 피피엘 뭐임...?,스우파도 장난 아니던데 키키
111,키키 그냥 대놓고 하는 게 더 웃긴 듯 이젠,갑자기 안마의자 덩그러니 키키
112,키키 드라마는 진짜 산통 깬다 ㅠ,앞 광고 해야 해서 그럴걸 키키
113,키키 근데 나오니까 사더라다며.?,드라마 어떤 거 주로 하지?
114,내 추천 영화는 항상 포레스트 검프!,그거 재밌다며 그래!
115,포레스트 검프 안 봤제 ㅡㅡ,아직 도전 못했어 키키
116,리틀 포레스트는 봤어?,그거 누구 나오더라!
117,검프는 그냥 검프야,김태리 맞다 김태리 존예 ㅠ
118,리틀 포레스트도 내 수면제...,김태리 진짜 분위기 쩌는 거 같애
119,넘 영화가 평온해,류준열 좋은데 나는 키키
120,아침 드시는 분 있나여?,아직여/방금 일어남 ㅜㅜ
121,저는 아점을 먹습니다.,너무 졸리는데 키키 배고프다
122,아 뭐 먹죠 오늘은 또...,눈 뜨자마자 배고프기 있나 키키
123,나중에 11시요!,그래 머 먹지 키키/다들 뭐 먹을 꺼임 키키
124,아점 오늘 뭐 먹지 하하,"오 키키 치킨마요스/나는, 머먹냐"
125,어제도 치킨 마요 아닌가유? 하하,정식 먹자 정식 존맛탱 키키
126,망구 제주 살이 하잖아...,웅 개부럽다 진짜 ㅜㅜ
127,나도 제주도 살고 싶다,나도 제주도 진짜 가고 싶은데 키키
128,한 달 다 되어가나 벌써?,그래 뭐가 좋노 키키
129,전혀 달라,다 바다제 나가면 바다가 ㅜㅜ
130,난 매일 낚시 갈 듯,부럽다/삶의 질이 다르지 키키
131,바다랑 함께 사는 기분이란...,낚시보다는 난 그냥 걸어도 좋을 듯
132,제주도는 전기차가 많더라?,그래 진짜 많더라 요새 키키
133,거기 죄다 전기차던데,제주도는 근데 렌터카 떄매 짱남
134,보조금 많이 주나 봐,너무 차가 많다 은근
135,친환경 그런 거 때문에!,아 진짜 ㅠ/전기차 한 번도 안 타봄
136,전기차가 많은 이유가 뭘까?,그래 제주도는 전기차 타야댐 키키
137,아 기름값이  비싸서 그렇구나?,환경을 위해서라도
138,제주도에  일자리는 좀 있음?,키키 그래 니 뭔 일함
139,알바 구하고 있어?,근데 키키 그게 젤 궁금스
140,** 공항에서 일하려고 갔잖아,아아 아직 일 안 하구나 키키/그냥 간 거가
141,오 공항 알바가 있어?,무작정 갔나 키키
142,우와 공항 할바 간지,멋잇네 키키/아아 직장 키키
143,** 공항에서 일하려고 제주도 갔어,그래/공항에서 보면 반갑겠다 키키
144,제주도에  군대 있음?,키키 있겠지 바보야
145,제주도로 군대 가나?,키키 제주도도 지켜야지
146,해군만 있나?,그렇겠지/나 가는 애 봄 키키
147,아 전국을 다 지켜야지,아냐/둘 다 있는 듯 키키
148,제주도 군대 가신 분 아냐?,그래 다 지켜야 하니 제주도도 배치해 놨을 꺼 같은데 키키
149,난 아직 없어...,키키 나 누가 간 거 본 적 있는 듯 키키
150,찌니 학원 장사 잘됨?,키키 웅 진짜 잘됨
151,학생들 많이 다님?,그래서 나도 함 해보고 싶네 키키
152,거기 진짜 비싸잖아...,사람 많음 키키/센터만 200명인가 키키
153,니가 차릴 수는 없음? 헐!,웅 그래 비싼데도 부자가 많아 진주에 키키
154,200명 넘 많은데? 키키,웅 키키 넘 비싸 이 브랜드는 키키
155,교육열이 높아서 그런 듯,응ㅇ 키키 그니까 엄마들이랑 친해져야지
156,부모가 되면 욕심이 나나 봐,키키 맞지 맞지/다 해주고 싶지
157,다들 부모가 되면... 참,나도 그럴 꺼 같은데 키키/다 해주고 싶은
158,교육열이 식지 않네 정말,내가 조카들을 봐도 그럼 키키
159,나도 그럴 거 같긴 해...,영어 잘 했음 좋겠고 키키
160,다 해주고 싶으려나?,그니까 부모맘은 다 똑같아 키키
161,강아지한테도 다 해주고 싶은데...,그렇지 키키/닌 더 할 수도 있다 키키
162,** 연애 중 넘 축하 축하!,키키 진짜 소름이더라
163,잔소리니?  하하,근데 그 여친 닮었던데 니랑 키키
164,니랑 닮았더라 키키,그래 곧 결혼할려나 키키
165,앞머리 그렇게 하고 더 닮은 듯,근데 좀 약간 너무 올려서 인스타에
166,엉 니도 이쁘게 생겼다,언팔 할 뻔 키키
167,키키 언팔 하지 말라고 키키,키키 그래/이뿌게 생겼드라 키키
168,** 제주도에서는 반려 동물 못 키울 듯,키키 왜왜
169,육지로 오고 하면...,난 엄청 더 좋을 꺼 같은데 키키
170,데리고 다닐 수 없잖아,산책을 바다로 시키자나 넘 부럽
171,집에 올 때 어쩔 거,아아 맞네/그런 문제가 있네 키키
172,집에 안 오면 가능!,근데 다 온다 키키/뭐 절차가 있겠지 키키
173,제주도는 2차 병원이 없대?,웅 근데 항공으로 오제 ㅜㅜ
174,제주도에 서핑 많이 하데...,어어 진짜 나 해보고 싶음 키키
175,진짜 행복해 보이더라,재밋을 듯 아직 안 해봄 **>?
176,엉 잘 타는 사람들은 개멋있,그래 키키 다하더라/멋있음
177,** 이제 갔다고... 한 달...,나도 그런 거 해보고 싶은데 키키
178,키키 ** 할 거 천지다 부럽...,아니 이제 가면 계속놀아야지 키키
179,그니까 졸 간지다... 상상만 해도,그래 우리 삶도 지루한데 ㅜㅜ
180,제주도 애들은 게임 할 시간이 없겠어,키키 아 뭐래 키키 더 많을 듯
181,이거 이거 할게 넘 많아,걔네도이제 질리겠지 키키
182,게임 할 시간 없지,태어날 때부터 하면 키키
183,낚시가 질릴 수가 없다,노놉 그냥 다 재미없어서 그게 더 재밌을 듯 키키
184,서핑에 오름에 핵 잼일 듯,ㅠ 아 낚시 키키 더 질릴 듯
185,게임은 겁나 질리지!,생각만 해도 질린데 키키
186,** 매일이 여행 같겠네...,키키 ㄱ진짜 재밌겠다/부럽
187,행복해,나도 가고 싶다 재워주나 키키
188,난 지구별 여행자,그래 키키 아 미틴
189,매일매일이 여행이지 후후후,왜 이래 아침부터 키키 갬성 돋노
190,집 언제 구하냐구 하하,그래 키키/우리 방 구하면 놀러 가자 키키
191,**집 여행 가야 하는데,키키 우리 그때 니 친구랑 놀러 가기로 함
192,아 오늘 날씨 춥당,그래 나 넘추운데
193,넘 발 시리고 손 시리고,아침에 이렇게 눈뜨고 컴터하니
194,기온 보니까 8도네...,매일 그냥 바로 자거든 키키
195,완전 춥당 오늘 ㅠㅠ,나도 난로 켰다 지금 키키
196,엉 기온이 8도 뜨네?,따숩네 키니까 키키 캠핑용인데
197,히터 켜져 있으니까 뜨시지 하하,그니까 키키 따숩따숩
198,오징어 게임 코인 봤냐...,키키 그건 또 뭐냐
199,그거 2500% 올랐다 샀더만,그런 게 있냐 키키/뭔데 키키
200,그 개발자가 돈ㅍ들고 튀었대,헐헐 어찌 하는 건데 레알 코인?
201,지금 0달러 돼버림...,아 헐헐 진짜가 대박 ㅜㅜ
202,엉 레알 코인이라고 키키,그래 잘되니까 그런 일이 ㅜㅜ
203,아니 30만 원에 주고 산 사람들 있음;,키키 무섭다/근데 좀 부럽
204,세계적으로도 난리네 오징어 게임 코인 키키,아 진짜 키키 나도 해볼껄
205,세계 뉴스 들어갔는데 또 도배,나도 근데 했으면 떄돈 벌었겠지
206,돈 다 날렸게...,키키 그래 키키/돈이 없어졌겠지
207,아니 개발자가 그 돈 들고 다 날랐다니까?,아니 그전에 뺴면 되지 키키
208,지금 0원 이라고 키키,아아 키키 그 말이였구나/잘못 이해
209,그 전에 절대 안 뺐을 듯...,아아 키키 그럼 주식이나 하자
210,** 앞머리가 와 글노...,키키 그래 머선 일이고
211,내 중학생 때 그랬는데,연애 하더니 약간 좀 그래 키키
212,넘 추억 돋더라,아아 짤라줬나 키키
213,엉 넘 귀엽더라 너무 너무,"귀엽, 지, 하하ㅏ, 그래,"
214,아 중딩 느낌이면 성공적!,키키 사랑에 미친 분의 보고 계십니다
215,근데 취직할 때 좀 걸림돌 아니가?,그래 키키/그럼 성공적이다
216,여자친구 아프다더니 괜춘?,키키 아 어디가 아픈데
217,이제 건강을 되찾은 거여?,아아 아팠구나 ㅜㅜ
218,니가 있어서 다행이네,어케 병원은 잘돼있나 거기
219,옆에 사람도 없으면 서럽지...,같이 지내나 키키/아아 생리통 ㅜㅜ
220,시내에 살아서 잘돼있을 듯,진짜 아픕 ㅜㅜ/그래/옆에 있어 주는 게 장떙
221,큰 병원 옆에 살아야 함,아 시내 쪽인 갑네 키키
222,쿠팡 로켓 오더나?,키키 오오 그런 거 오겠지
223,쿠팡 로켓 여기는 안 온다,제주도는 택배비도 비싸던데 키키
224,우리 동네 개 썩었다,그래/그런 거는 좀 아숩네 키키
225,엉 로켓은 안 와!,키키 아 진짜 안 오나?/왜 안 옴
226,그냥 갖다 줌,아 헐 ㅜㅜ 정촌은 안 오는군
227,로켓으로 시켜도 일반으로 와,키키 아아 그래 택배 ㅜㅜ 언제옴
228,앗... 구경이 재밌던데? 봤냐,키키 어어 나 봄/어제 봄
229,그거 2화까지 나옴,넘 재밌던데 키키 그 여자 무서워
230,이영애 새로 하는 드라마,어어 그 여자 너무 무섭더라 ㅜㅜ
231,아 재밌던데는 은근 웃기고,그 와중에 이영애 존예
232,무서운 여자가 나와?,그래 키키/웃기고 그 남자 말하더라
233,그거 웃긴 거 아냐?,아니 그 여자 살인자 키키
234,듄은 내 스타일 아니더라,키키 그거 누구 나온다 했지
235,난 공상 과학 그런 거 잠 와...,듄은 아직 안 봄
236,외국인이라서...,계속 봐야 댄다고 하던데 키키
237,남주가 잘생기긴 했는데...,아아 진짜 키키 꼭 봐야겠네
238,그냥 좀 잠 옴...,무조건 봐야지 키키
239,이터널스 봐야지 무조건 키키,영화관 가서 봐야지 키키
240,난 일식이 좋더라...,나도 일식 좋아해여 키키
241,일식이 젤 깔끔해 하하,일식 먹고 나면 속이 편해서
242,중식은 소화가 안 되더라구 ㅠㅠ,일식 좋아하는데 스시!
243,*형는 다 잘 먹잖아,중식은 진짜 더부룩 ㅠㅠ
244,*형은 완전 대식가인 듯,뭔가 그런 느낌
245,아 근데 떡볶이 먹고 싶다...,오 ~ 대식가?/잘 드시나 보네ㅔ여
246,얌 우리는 같은 아파트에 살아!,결혼하면 같은 아파트?
247,우리는 지금 이웃 주민이얌 하하,오 대박 좋다 ㅠㅠ
248,아니 지금도 같은 아파트야,아 행님 거기 사세여?
249,키키 **이는 옆 아파트 살구,키키 같이 노는 커플 있으면
250,응 오빠는 지금 혼자 살아,진짜 그거 너무 좋은 듯 ㅠㅠ
251,넘 가까이  살아서 좋아,이제 결혼하면 그 집으로 오시나여 **이 누나는
252,전기차 충전소 넘 부족하더라,진짜 그거 문제라던데
253,우리 아파트도 있는데 지하2층에만 있어,이게 차 생기는 만큼
254,전기차 사도 불편할 듯 아직,안 생기니까 완전
255,나도 전기차 살 거야!,문제라고 하더라구요~ 전기차는
256,나도 갖고는 싶다 전기차 키키,사고 싶은데 키키 여러가지 문제가
257,그게 좀 불편할 듯...,전기차 진짜 괜찮죠>>?
258,아 회사에서 회식 안 해서 좋았는데...,요즘 회식 안 해서
259,슬 회식 이야기 나온대... ㅠㅠ,진짜 좋은데 키키/다시
260,웅 오빠 회사는 슥 나온대...,바로 회식 하는 것도
261,회식 안 하고 돈으로 줬거든?,근데 진짜 대단하다...
262,아 회식비 받는 게 훨 나아,다들 기다리고 있었나...
263,돈이 짱이야!,돈으로 받는 게 훨씬 좋죠...
264,오늘도 공군은 열심히 훈련을 한다,오 그게 소리가 들리나여
265,지금 잠시 밥 먹으러 간 듯,비행기가 날아 다니는 건가 키키
266,지금 날아간다,정촌에서 비행이 많이 본 듯 키키
267,키키 공군 훈련 진짜 많이 함,저 예전에 정촌 일해가지고 키키
268,신경 쓰기 시작하면  엄청 신경 쓰여,비행기 진짜 많이 봤어요~
269,그래도 우리를 지켜주는 거야 ㅠㅠ,진짜 계속 그 소리만 들려요
270,애가 예체능 하고 싶다고 하면 우짜냐,진짜 하고 싶다고 하면
271,돈 없어서 하지 말라고 하면 가슴 찢어질 듯,밀어줘야 할 것 같은데...
272,키키 예체능은 요즘도 비싸지?,돈이 진짜 많이 들 텐데...
273,하고 싶은 거 있는 건,주변에 스트레스 많이 받던데 하는 애도 ㅠㅠ
274,집에 예체능 하는 사람 있어?,근데 진짜 하고 싶으면...
275,우리 집은 예체능에 소질 없는 듯,무조건 시켜줘야 할 듯.../저는 없어요~ ㅠㅠ
276,가족 중에 예술인이 있어?,저희는 아예 없어요 키키
277,우리 가족 중엔 아무도 없어 하하,공부로 직장 얻었거나 키키 사업하거나
278,경찰이 예체능이냐고...,예술 쪽은 하나도 없네여 키키
279,경찰이 어떤 예체능인데?,경찰 체육 키키 그런 건가 키키
280,경찰이 체육 계열이라고?,키키 체육 쪽으로 생각한 듯한데여 키키
281,형사 아니면 체육도 상관없는 듯...,몸이 좋더라구요 키키 경찰들
282,둘 다 결혼 아직이군 하하,저는 언제 하죠 키키
283,둘 다 여자친구는 있군 하하,행님은 곧 하신다고 들었는데~
284,여자친구 사랑하는 거지?,여자친구만 있고 결혼은 아직...
285,얼마만큼 사랑해?,사랑은 하지요 키키 당연!
286,혹시 장기 이식해줄 수 있어?,결혼을 생각할 만큼 키키
287,눈 한쪽 떼 줄 수 있어?,장기이식... 아내한테 해줄 수 있을 듯...
288,오빠네 강아지 새끼 낳음?,행님도 강아지 키우시나여
289,그 아롱이가 새끼 낳은 거임?,진짜 핵귀일 듯... 작아서
290,세상에나... 그래서 어쩔 건데...,강아지 이름이 아롱이구나 키키
291,일단 사진 보내봐,다 분양하는 건가여? ㅠㅠ 대박
292,아롱이가 대형견 아냐?,저도 한 마리 받고 싶네여 키키
293,여친 진짜 데려간대?,아롱이 종이 어떤 거예요? 키키
294,골프 안 치는 사람이 적을지경,진짜 주변에 다쳐요 ㅠㅠ
295,키키 골프 치냐고 물어보면 다 친대,요즘 안치는 사람이 없는...
296,와... 나만 안 치나,다들 골린이인데 키키
297,형도 골프에 빠졌어?,다 치긴 치는 키키
298,완전 필드 잡기가 힘들대,행님은 안 치시나여 키키
299,악 골프는 재미 없던데 ㅠㅠ,지금 필드 진짜 예약 어렵다고...
300,엇 저 오빠 게임 좋아하는 듯다며.,행님은 어떤 게임을...
301,컴퓨터 산다는 소문이 있던데...,저는 하는 게 딱 하나라서 키키
302,컴퓨터 사서 뭐하려고...,근데 하는 것도 잘 못 해여 키키
303,근데 요즘 컴퓨터 진짜 비싸데,아 롤 정도.../저도 롤만
304,오빠도 롤 하는 거임?,키키 컴퓨터 진짜 한없이 비싸던데
305,그니까 컴퓨터 왜 사려고...,롤 할 정도면... 안 사셔도 키키
306,그래서 다시 돌아온 신혼여행 정하기,신혼여행 너무 부럽 ㅠㅠ
307,고마 머리 아프니까 제주도 가셈 고고,진짜 하와이든 제주도든
308,근데 강원도도 많이 가더라,다 너무 부럽네여 저는...
309,강원도 평소에 잘 못가니까,하와이는 돈이 엄청날 듯 ㅠㅠ
310,그니까 그냥 제주도 가셈,강원도 진짜 바다 이뻐서
311,괜찮아,가도 괜찮을 듯...
312,봄에 결혼하제?,봄에 결혼하는 부부네여
313,봄이 결혼하기 좋지,요즘 식장 잡기
314,봄 아니면 가을이 좋아,진짜 어렵다고 하던데 키키
315,응 요즘 식장 잡기 어렵대...,성공하신 분이었네여 키키 행님
316,솨 네도 4월에 한데...,진짜 결혼 다 하려고 해서
317,솨 가 못 오는 거 아닐까 ㅠㅠ,장난 아니라고 하더라구요 키키
318,백신 패스 의미 있을까?,백스 패스... 진짜 차별
319,돌파 감염도 많이 일어나던데...,그냥 차별밖에 안되는...
320,엥? 오빠 얀센이었지?,태국 근데 키키 갈 수 있다니
321,벌써 부스터샷 연락 옴?,뭔가 솔깃하긴 하네여 키키
322,태국을 갈 수 있대?,얀센 또 맞아야 한다고 ㅠㅠ
323,응 부스터 샷이지 그게 키키,근데 6개월... 마다
324,중국이 다시 코로나 확산 추세래...,중국 진짜 어떻게...
325,디즈니 폐쇄 했다네 ㅠㅠ,키키 헐 디즈니까지?
326,코로나 그만 제발...,진짜 거긴 심각하니까...
327,디즈니 가본 사람...,아예 안 잡혔으면서... 코로나
328,나 중국은 별론데 디즈니 가보고  싶어 ㅠㅠ,대체 언제 끝나나여...
329,디즈니 한번도 못 가봄,나도 디즈니 ㅠㅠ 안 가봤는데
330,다이어트 돌입했다,다이어트 ㅠㅠ 젤 어려운
331,나 다이어트 이번에 기필코 성공한다,키키 꾸준히 할 수 있다면
332,약 같은 건 안 먹을 꺼야 ㅠㅠ,건강하게 다이어트 해여...
333,약 먹으면 절대 안댕!,절대 먹지 말고 ㅠㅠ 운동으로~
334,다이어트는 건강을 위해!,진짜 먹는 사람 있음 말려야 해
335,오빠랑 안하고 싶으면...?,운동을 같이 하는 게 젤 좋은데
336,단백질 보조제 간에 안 좋은 거 아니?,그건 몸에 안 좋을 건
337,그거 간에 되게 치명적이래...,없을 텐데 키키 헐?
338,응 엄청 피곤하대,안 좋대여?/첨 들어봄 ㅠㅠ
339,간이 쉴 틈이 없어서,단백질 자체가 그렇구나...
340,고단백일수록 더 그런 듯,간에 무리 가는 게... 영양제도 그렇고
341,바디 빌더들은 사실 건강이  안 좋아,다들 많이 먹으면 ㅠㅠ 좋지 않네여...
342,쿠팡 애용자 있나여?,저는 잘 애용 안 해여 키키
343,쿠팡에 가품도 올라오나여?,거기 진짜 싼 거 많져?
344,화장품이 왜 반값이져...?,쿠팡에 가품이?/첨 듣는데
345,사려다가 넘 고민임...,뭔가 가품 팔면 안될 것 같은데
346,너무 싸면 의심스러워,쿠팡이 결제가 편하구나
347,화장품도 가짜가 있겠지?,아 진짜 가품이 있을 수도?
348,연예인 누구 좋아해?,저는 전지현 좋아해여
349,난 따로 좋아하는 연예인은 보자 보자 요즘 용진?,이뻐서 키키 그냥 좋아하는...
350,용진인가? 그분 졸라 웃기던데 진짜,오~ 아이유!/주변에 친구들...
351,무슨 용진인지 아는 사람...,거의 다 좋아하는 듯 키키
352,아이유가 왜 좋아?,이용진? 개그맨인가요 키키
353,아 이용진 맞습니다 키키,아이유 뭔가 귀엽고 이뻐서 키키
354,옛날에 키티 좋아했었음,키티 진짜 많이 좋아하잖아요 여자들은
355,그거 한때 엄청 모았었는데,주변에도 키티 엄청 좋아하던데
356,이제 캐릭터는 별로야...,그거 진짜 너무 많아서... 다양하게
357,키티 좋아하는 사람 많지 키키,캐릭터가 왜 별로예요
358,키티 이제 이별했어...,키키 진짜 너무 많은 제품으로
359,다 기부 했어,그게 나와가지고 사 모으느라...
360,점심 식사 하셨어?,아직 안 먹었어 ㅠㅠ
361,난 점심 맛도리 였음,누나들은 먹었어요?/배고프다
362,엄마가 닭도리탕 해줬어 하하,오 커피까지 먹는구나
363,나도 커피까지 먹음... 호호호,나는 늦잠 자서 오늘 키키
364,넌 왜 아직 안 먹었어 ㅠㅠ,곧 커피 먹어야겠어요 키키
365,엄마는 사랑이야... 정말...,배고파 죽겠네여 ㅠㅠ 진짜
366,둘다 혼자 사는 군 하하,누나도 혼자 살아여?
367,아! 그 월세 8만원의 주인공이 **이야...!,저는 원룸에 혼자 ㅠㅠ
368,**이 집 진짜 개 좋다고,아! 그 8 만원에 주인공 키키
369,거기 진짜 짱이야,저도 그런데 가고 싶은데 ㅠㅠ
370,그 아파트 거의 홍보 대사임,지금 월세 너무 비싸서
371,쟤는 월세 40이래...,당첨 되기 쉽나여? ㅠㅠ
372,정촌은 차 필수임,자동차 ㅠㅠ 있어 키키 필수야
373,차만 있으면 참 좋은 동네야,진짜 근데 돈도 많이 들고 키키
